t,Ekin,Epot,Etot
0.000166667,3.17304e-12,0,3.17304e-12
0.000333333,3.92658e-11,6.34608e-12,4.56118e-11
0.0005,1.38889e-10,6.7426e-11,2.06315e-10
0.000666667,3.06887e-10,2.4704e-10,5.53927e-10
0.000833333,5.65681e-10,5.41729e-10,1.10741e-09
0.001,9.52209e-10,9.1982e-10,1.87203e-09
0.00116667,1.49274e-09,1.4051e-09,2.89784e-09
0.00133333,2.21634e-09,2.0668e-09,4.28314e-09
0.0015,3.14868e-09,2.97963e-09,6.12831e-09
0.00166667,4.30315e-09,4.17938e-09,8.48253e-09
0.00183333,5.7042e-09,5.63095e-09,1.13351e-08
0.002,7.38484e-09,7.29273e-09,1.46776e-08
0.00216667,9.37083e-09,9.19885e-09,1.85697e-08
0.00233333,1.169e-08,1.14422e-08,2.31322e-08
0.0025,1.43675e-08,1.41105e-08,2.8478e-08
0.00266667,1.74194e-08,1.72279e-08,3.46473e-08
0.00283333,2.08701e-08,2.07399e-08,4.16101e-08
0.003,2.4751e-08,2.45953e-08,4.93463e-08
0.00316667,2.90875e-08,2.88344e-08,5.79219e-08
0.00333333,3.39066e-08,3.35671e-08,6.74737e-08
0.0035,3.92331e-08,3.88915e-08,7.81246e-08
0.00366667,4.50842e-08,4.4824e-08,8.99082e-08
0.00383333,5.14843e-08,5.12945e-08,1.02779e-07
0.004,5.84635e-08,5.82432e-08,1.16707e-07
0.00416667,6.60466e-08,6.57147e-08,1.31761e-07
0.00433333,7.42602e-08,7.38331e-08,1.48093e-07
0.0045,8.31286e-08,8.27048e-08,1.65833e-07
0.00466667,9.26695e-08,9.23406e-08,1.8501e-07
0.00483333,1.02907e-07,1.02657e-07,2.05564e-07
0.005,1.1387e-07,1.13586e-07,2.27456e-07
0.00516667,1.25584e-07,1.25175e-07,2.50759e-07
0.00533333,1.38073e-07,1.37562e-07,2.75634e-07
0.0055,1.51362e-07,1.50859e-07,3.02221e-07
0.00566667,1.65469e-07,1.65072e-07,3.30541e-07
0.00583333,1.80417e-07,1.80106e-07,3.60523e-07
0.006,1.96234e-07,1.95886e-07,3.92121e-07
0.00616667,2.12945e-07,2.12462e-07,4.25408e-07
0.00633333,2.30574e-07,2.29982e-07,4.60556e-07
0.0065,2.49145e-07,2.48565e-07,4.9771e-07
0.00666667,2.68676e-07,2.68213e-07,5.36889e-07
0.00683333,2.89189e-07,2.88819e-07,5.78008e-07
0.007,3.10712e-07,3.10301e-07,6.21013e-07
0.00716667,3.33268e-07,3.32713e-07,6.65981e-07
0.00733333,3.56881e-07,3.5621e-07,7.13091e-07
0.0075,3.81574e-07,3.80919e-07,7.62493e-07
0.00766667,4.07365e-07,4.06837e-07,8.14202e-07
0.00783333,4.34275e-07,4.33848e-07,8.68123e-07
0.008,4.62332e-07,4.61861e-07,9.24194e-07
0.00816667,4.91558e-07,4.90934e-07,9.82492e-07
0.00833333,5.21975e-07,5.21229e-07,1.0432e-06
0.0085,5.53607e-07,5.5288e-07,1.10649e-06
0.00866667,5.86469e-07,5.85879e-07,1.17235e-06
0.00883333,6.20585e-07,6.20101e-07,1.24069e-06
0.009,6.55979e-07,6.55449e-07,1.31143e-06
0.00916667,6.92672e-07,6.91982e-07,1.38465e-06
0.00933333,7.30687e-07,7.2987e-07,1.46056e-06
0.0095,7.70045e-07,7.69252e-07,1.5393e-06
0.00966667,8.10761e-07,8.10118e-07,1.62088e-06
0.00983333,8.52853e-07,8.52336e-07,1.70519e-06
0.01,8.9634e-07,8.95809e-07,1.79215e-06
0.0101667,9.41229e-07,9.4061e-07,1.88184e-06
0.0103333,9.87519e-07,9.86939e-07,1.97446e-06
0.0105,1.03519e-06,1.03497e-06,2.07017e-06
0.0106667,1.08422e-06,1.08475e-06,2.16897e-06
0.0108333,1.13456e-06,1.13619e-06,2.27075e-06
0.011,1.18616e-06,1.18925e-06,2.37541e-06
0.0111667,1.239e-06,1.24404e-06,2.48303e-06
0.0113333,1.29304e-06,1.3008e-06,2.59383e-06
0.0115,1.34826e-06,1.35971e-06,2.70797e-06
0.0116667,1.40463e-06,1.4208e-06,2.82543e-06
0.0118333,1.46212e-06,1.48398e-06,2.9461e-06
0.012,1.5207e-06,1.54918e-06,3.06988e-06
