t,Ekin,Epot,Etot
0.0158333,1.18952e-05,1.1894e-05,2.37892e-05
0.016,1.2223e-05,1.22217e-05,2.44447e-05
0.0161667,1.25552e-05,1.25532e-05,2.51085e-05
0.0163333,1.28918e-05,1.28893e-05,2.57811e-05
0.0165,1.32327e-05,1.32304e-05,2.64631e-05
0.0166667,1.35778e-05,1.35762e-05,2.7154e-05
0.0168333,1.39271e-05,1.39261e-05,2.78532e-05
0.017,1.42805e-05,1.42794e-05,2.85599e-05
0.0171667,1.46381e-05,1.46363e-05,2.92744e-05
0.0173333,1.49997e-05,1.49974e-05,2.9997e-05
0.0175,1.53652e-05,1.53632e-05,3.07284e-05
0.0176667,1.57347e-05,1.57334e-05,3.14681e-05
0.0178333,1.61081e-05,1.61073e-05,3.22154e-05
0.018,1.64852e-05,1.64843e-05,3.29695e-05
0.0181667,1.68661e-05,1.68645e-05,3.37306e-05
0.0183333,1.72506e-05,1.72486e-05,3.44992e-05
0.0185,1.76388e-05,1.7637e-05,3.52758e-05
0.0186667,1.80305e-05,1.80294e-05,3.60599e-05
0.0188333,1.84256e-05,1.84251e-05,3.68508e-05
0.019,1.88242e-05,1.88235e-05,3.76477e-05
0.0191667,1.9226e-05,1.92248e-05,3.84508e-05
0.0193333,1.96311e-05,1.96294e-05,3.92605e-05
0.0195,2.00394e-05,2.00379e-05,4.00773e-05
0.0196667,2.04508e-05,2.045e-05,4.09008e-05
0.0198333,2.08651e-05,2.08649e-05,4.17301e-05
0.02,2.12824e-05,2.12821e-05,4.25646e-05
0.0201667,2.17026e-05,2.17016e-05,4.34042e-05
0.0203333,2.21255e-05,2.21241e-05,4.42496e-05
0.0205,2.25511e-05,2.25499e-05,4.5101e-05
0.0206667,2.29793e-05,2.29789e-05,4.59582e-05
0.0208333,2.341e-05,2.34102e-05,4.68202e-05
0.021,2.38432e-05,2.38432e-05,4.76863e-05
0.0211667,2.42786e-05,2.4278e-05,4.85566e-05
0.0213333,2.47164e-05,2.47153e-05,4.94316e-05
0.0215,2.51562e-05,2.51554e-05,5.03116e-05
0.0216667,2.55982e-05,2.55981e-05,5.11962e-05
0.0218333,2.60421e-05,2.60425e-05,5.20846e-05
0.022,2.64879e-05,2.64882e-05,5.29761e-05
0.0221667,2.69354e-05,2.69352e-05,5.38706e-05
