t,Ekin,Epot,Etot
0.000166667,6.54492e-05,0.345348,0.345413
0.000333333,0.000255276,0.345151,0.345407
0.0005,0.000560041,0.344829,0.345389
0.000666667,0.000970745,0.344382,0.345353
0.000833333,0.00147882,0.343817,0.345295
0.001,0.0020761,0.343134,0.34521
0.00116667,0.00275481,0.342339,0.345094
0.00133333,0.00350759,0.341435,0.344942
0.0015,0.0043274,0.340424,0.344752
0.00166667,0.00520759,0.339311,0.344519
0.00183333,0.00614184,0.338099,0.344241
0.002,0.00712414,0.336791,0.343916
0.00216667,0.00814883,0.335391,0.34354
0.00233333,0.00921051,0.333902,0.343113
0.0025,0.0103041,0.332328,0.342632
0.00266667,0.0114248,0.330671,0.342095
0.00283333,0.0125681,0.328935,0.341503
0.003,0.0137297,0.327123,0.340852
0.00316667,0.0149056,0.325238,0.340144
0.00333333,0.016092,0.323284,0.339376
0.0035,0.0172853,0.321264,0.338549
0.00366667,0.0184822,0.31918,0.337662
0.00383333,0.0196795,0.317036,0.336715
0.004,0.0208743,0.314835,0.335709
0.00416667,0.0220639,0.312579,0.334643
0.00433333,0.0232458,0.310271,0.333517
0.0045,0.0244175,0.307915,0.332333
0.00466667,0.0255769,0.305513,0.33109
0.00483333,0.0267219,0.303067,0.329789
0.005,0.0278506,0.300581,0.328432
0.00516667,0.0289612,0.298057,0.327018
0.00533333,0.0300523,0.295497,0.325549
0.0055,0.0311222,0.292904,0.324026
0.00566667,0.0321697,0.290281,0.32245
0.00583333,0.0331935,0.287629,0.320822
0.006,0.0341926,0.284951,0.319144
0.00616667,0.035166,0.28225,0.317416
0.00633333,0.0361127,0.279527,0.315639
0.0065,0.0370321,0.276784,0.313816
0.00666667,0.0379233,0.274024,0.311948
0.00683333,0.0387858,0.271249,0.310035
0.007,0.0396191,0.268461,0.30808
0.00716667,0.0404228,0.265661,0.306083
0.00733333,0.0411964,0.262851,0.304048
0.0075,0.0419398,0.260034,0.301974
0.00766667,0.0426526,0.25721,0.299863
0.00783333,0.0433348,0.254382,0.297717
0.008,0.0439863,0.251552,0.295538
0.00816667,0.044607,0.24872,0.293327
0.00833333,0.0451969,0.245888,0.291085
0.0085,0.0457562,0.243058,0.288814
0.00866667,0.0462848,0.240232,0.286516
0.00883333,0.0467831,0.237409,0.284193
0.009,0.0472512,0.234593,0.281844
0.00916667,0.0476893,0.231784,0.279473
0.00933333,0.0480978,0.228983,0.277081
0.0095,0.0484769,0.226192,0.274669
0.00966667,0.048827,0.223411,0.272238
0.00983333,0.0491484,0.220642,0.26979
0.01,0.0494416,0.217886,0.267327
0.0101667,0.0497069,0.215143,0.26485
0.0103333,0.0499449,0.212415,0.26236
0.0105,0.050156,0.209702,0.259858
0.0106667,0.0503406,0.207006,0.257347
0.0108333,0.0504994,0.204327,0.254827
0.011,0.0506327,0.201666,0.252299
0.0111667,0.0507411,0.199024,0.249765
0.0113333,0.0508252,0.196401,0.247226
0.0115,0.0508855,0.193798,0.244684
0.0116667,0.0509226,0.191216,0.242138
0.0118333,0.050937,0.188655,0.239592
0.012,0.0509293,0.186116,0.237045
0.0121667,0.0509002,0.183599,0.234499
0.0123333,0.0508501,0.181105,0.231955
0.0125,0.0507796,0.178634,0.229413
0.0126667,0.0506894,0.176186,0.226876
0.0128333,0.0505801,0.173763,0.224343
0.013,0.0504521,0.171364,0.221816
0.0131667,0.0503062,0.16899,0.219296
0.0133333,0.0501429,0.166641,0.216784
0.0135,0.0499628,0.164317,0.21428
0.0136667,0.0497664,0.162019,0.211785
0.0138333,0.0495544,0.159746,0.209301
0.014,0.0493273,0.1575,0.206827
0.0141667,0.0490857,0.15528,0.204365
0.0143333,0.0488301,0.153085,0.201916
0.0145,0.0485612,0.150918,0.199479
0.0146667,0.0482794,0.148777,0.197056
0.0148333,0.0479853,0.146662,0.194647
0.015,0.0476795,0.144574,0.192254
0.0151667,0.0473624,0.142513,0.189876
0.0153333,0.0470346,0.140479,0.187514
0.0155,0.0466967,0.138471,0.185168
0.0156667,0.046349,0.136491,0.18284
0.0158333,0.0459921,0.134537,0.180529
0.016,0.0456266,0.132609,0.178236
0.0161667,0.0452528,0.130709,0.175961
0.0163333,0.0448712,0.128835,0.173706
0.0165,0.0444824,0.126987,0.171469
0.0166667,0.0440867,0.125166,0.169253
0.0168333,0.0436846,0.123371,0.167056
0.017,0.0432766,0.121603,0.164879
0.0171667,0.0428629,0.11986,0.162723
0.0173333,0.0424442,0.118143,0.160588
0.0175,0.0420207,0.116453,0.158473
0.0176667,0.0415928,0.114787,0.15638
0.0178333,0.041161,0.113147,0.154308
0.018,0.0407256,0.111533,0.152259
0.0181667,0.040287,0.109943,0.15023
0.0183333,0.0398454,0.108379,0.148224
0.0185,0.0394014,0.106839,0.14624
0.0186667,0.0389551,0.105323,0.144278
0.0188333,0.0385069,0.103832,0.142339
0.019,0.0380572,0.102365,0.140422
0.0191667,0.0376062,0.100921,0.138528
0.0193333,0.0371542,0.0995015,0.136656
0.0195,0.0367015,0.098105,0.134806
0.0196667,0.0362484,0.0967314,0.13298
0.0198333,0.0357951,0.0953807,0.131176
0.02,0.035342,0.0940526,0.129395
0.0201667,0.0348892,0.0927467,0.127636
0.0203333,0.0344369,0.0914629,0.1259
0.0205,0.0339855,0.0902009,0.124186
0.0206667,0.0335351,0.0889605,0.122496
0.0208333,0.033086,0.0877412,0.120827
0.021,0.0326383,0.086543,0.119181
0.0211667,0.0321923,0.0853654,0.117558
0.0213333,0.0317481,0.0842083,0.115956
0.0215,0.0313059,0.0830713,0.114377
0.0216667,0.0308659,0.0819543,0.11282
0.0218333,0.0304282,0.0808568,0.111285
0.022,0.029993,0.0797787,0.109772
0.0221667,0.0295605,0.0787197,0.10828
0.0223333,0.0291308,0.0776794,0.10681
0.0225,0.0287041,0.0766576,0.105362
0.0226667,0.0282803,0.075654,0.103934
0.0228333,0.0278598,0.0746684,0.102528
0.023,0.0274425,0.0737005,0.101143
0.0231667,0.0270287,0.07275,0.0997786
0.0233333,0.0266183,0.0718165,0.0984349
0.0235,0.0262116,0.0709,0.0971116
0.0236667,0.0258086,0.07,0.0958085
0.0238333,0.0254093,0.0691163,0.0945256
0.024,0.0250138,0.0682487,0.0932625
0.0241667,0.0246223,0.0673968,0.0920192
0.0243333,0.0242348,0.0665605,0.0907953
0.0245,0.0238514,0.0657394,0.0895907
0.0246667,0.0234721,0.0649332,0.0884053
0.0248333,0.0230969,0.0641418,0.0872387
0.025,0.0227259,0.0633649,0.0860908
0.0251667,0.0223593,0.0626021,0.0849614
0.0253333,0.0219969,0.0618534,0.0838502
0.0255,0.0216388,0.0611183,0.0827571
0.0256667,0.0212851,0.0603967,0.0816818
0.0258333,0.0209358,0.0596883,0.0806241
0.026,0.0205909,0.0589928,0.0795837
0.0261667,0.0202504,0.0583101,0.0785606
0.0263333,0.0199144,0.0576399,0.0775543
0.0265,0.0195829,0.056982,0.0765648
0.0266667,0.0192558,0.056336,0.0755918
0.0268333,0.0189332,0.0557019,0.0746351
0.027,0.0186151,0.0550793,0.0736944
0.0271667,0.0183014,0.0544681,0.0727695
0.0273333,0.0179922,0.053868,0.0718603
0.0275,0.0176875,0.0532789,0.0709664
0.0276667,0.0173872,0.0527004,0.0700876
0.0278333,0.0170914,0.0521324,0.0692238
0.028,0.0168,0.0515747,0.0683747
0.0281667,0.0165131,0.051027,0.0675401
0.0283333,0.0162305,0.0504892,0.0667197
0.0285,0.0159523,0.0499611,0.0659134
0.0286667,0.0156785,0.0494425,0.0651209
0.0288333,0.015409,0.0489331,0.0643421
0.029,0.0151438,0.0484328,0.0635766
0.0291667,0.0148829,0.0479415,0.0628243
0.0293333,0.0146262,0.0474588,0.062085
0.0295,0.0143737,0.0469847,0.0613584
0.0296667,0.0141254,0.0465189,0.0606444
0.0298333,0.0138813,0.0460614,0.0599427
0.03,0.0136413,0.0456118,0.0592531
0.0301667,0.0134054,0.0451701,0.0585755
0.0303333,0.0131735,0.0447361,0.0579096
0.0305,0.0129456,0.0443096,0.0572552
0.0306667,0.0127217,0.0438905,0.0566121
0.0308333,0.0125016,0.0434785,0.0559802
0.031,0.0122855,0.0430736,0.0553591
0.0311667,0.0120732,0.0426756,0.0547489
0.0313333,0.0118647,0.0422844,0.0541491
0.0315,0.01166,0.0418997,0.0535597
0.0316667,0.0114589,0.0415215,0.0529805
0.0318333,0.0112616,0.0411497,0.0524113
0.032,0.0110678,0.040784,0.0518518
0.0321667,0.0108776,0.0404244,0.051302
0.0323333,0.010691,0.0400707,0.0507616
0.0325,0.0105078,0.0397227,0.0502305
0.0326667,0.010328,0.0393805,0.0497085
0.0328333,0.0101517,0.0390437,0.0491954
0.033,0.00997865,0.0387124,0.0486911
0.0331667,0.00980891,0.0383864,0.0481953
0.0333333,0.00964242,0.0380656,0.047708
0.0335,0.00947912,0.0377498,0.047229
0.0336667,0.00931897,0.0374391,0.046758
0.0338333,0.00916192,0.0371331,0.046295
0.034,0.00900792,0.0368319,0.0458398
0.0341667,0.00885693,0.0365353,0.0453923
0.0343333,0.00870889,0.0362433,0.0449522
0.0345,0.00856376,0.0359557,0.0445195
0.0346667,0.0084215,0.0356725,0.044094
0.0348333,0.00828205,0.0353935,0.0436755
0.035,0.00814537,0.0351186,0.043264
0.0351667,0.00801141,0.0348478,0.0428592
0.0353333,0.00788012,0.034581,0.0424611
