t,x,y
0.01,4.94975,4.94975
0.02,9.89776,9.89678
0.03,14.844,14.8411
0.04,19.7886,19.7827
0.05,24.7314,24.7216
0.06,29.6725,29.6578
0.07,34.6119,34.5913
0.08,39.5496,39.5221
0.09,44.4855,44.4502
0.1,49.4197,49.3756
0.11,54.3522,54.2983
0.12,59.283,59.2184
0.13,64.2121,64.1357
0.14,69.1395,69.0503
0.15,74.0652,73.9623
0.16,78.9891,78.8716
0.17,83.9114,83.7782
0.18,88.8319,88.6821
0.19,93.7507,93.5833
0.2,98.6679,98.4819
0.21,103.583,103.378
0.22,108.497,108.271
0.23,113.409,113.162
0.24,118.32,118.049
0.25,123.228,122.935
0.26,128.135,127.817
0.27,133.04,132.697
0.28,137.944,137.574
0.29,142.846,142.449
0.3,147.746,147.321
0.31,152.645,152.19
0.32,157.542,157.057
0.33,162.437,161.921
0.34,167.331,166.782
0.35,172.222,171.641
0.36,177.113,176.497
0.37,182.001,181.35
0.38,186.888,186.201
0.39,191.773,191.049
0.4,196.657,195.895
0.41,201.539,200.738
0.42,206.419,205.578
0.43,211.297,210.416
0.44,216.174,215.251
0.45,221.049,220.083
0.46,225.923,224.913
0.47,230.795,229.74
0.48,235.665,234.565
0.49,240.534,239.386
0.5,245.401,244.206
0.51,250.266,249.022
0.52,255.13,253.837
0.53,259.992,258.648
0.54,264.852,263.457
0.55,269.711,268.263
0.56,274.568,273.067
0.57,279.424,277.868
0.58,284.278,282.667
0.59,289.13,287.462
0.6,293.981,292.256
0.61,298.83,297.046
0.62,303.677,301.835
0.63,308.523,306.62
0.64,313.367,311.403
0.65,318.209,316.183
0.66,323.05,320.961
0.67,327.89,325.737
0.68,332.727,330.509
0.69,337.563,335.279
0.7,342.398,340.047
0.71,347.23,344.812
0.72,352.062,349.574
0.73,356.891,354.334
0.74,361.719,359.091
0.75,366.546,363.846
0.76,371.37,368.598
0.77,376.194,373.347
0.78,381.015,378.094
0.79,385.835,382.839
0.8,390.654,387.581
0.81,395.47,392.32
0.82,400.286,397.057
0.83,405.099,401.791
0.84,409.911,406.523
0.85,414.722,411.252
0.86,419.53,415.979
0.87,424.338,420.703
0.88,429.143,425.424
0.89,433.947,430.143
0.9,438.75,434.86
0.91,443.551,439.574
0.92,448.35,444.285
0.93,453.148,448.994
0.94,457.944,453.7
0.95,462.739,458.404
0.96,467.532,463.106
0.97,472.323,467.804
0.98,477.113,472.501
0.99,481.902,477.195
1,486.689,481.886
1.01,491.474,486.575
1.02,496.258,491.261
1.03,501.04,495.945
1.04,505.82,500.626
1.05,510.599,505.304
1.06,515.377,509.981
1.07,520.153,514.654
1.08,524.927,519.326
1.09,529.7,523.994
1.1,534.471,528.661
1.11,539.241,533.324
1.12,544.009,537.986
1.13,548.776,542.644
1.14,553.541,547.301
1.15,558.304,551.954
1.16,563.066,556.606
1.17,567.827,561.254
1.18,572.586,565.901
1.19,577.343,570.545
1.2,582.099,575.186
1.21,586.853,579.825
1.22,591.606,584.461
1.23,596.357,589.095
1.24,601.107,593.727
1.25,605.855,598.356
1.26,610.602,602.982
1.27,615.347,607.606
1.28,620.091,612.228
1.29,624.833,616.847
1.3,629.574,621.464
1.31,634.313,626.078
1.32,639.05,630.69
1.33,643.786,635.299
1.34,648.521,639.906
1.35,653.254,644.511
1.36,657.986,649.113
1.37,662.716,653.712
1.38,667.444,658.309
1.39,672.171,662.904
1.4,676.897,667.496
1.41,681.621,672.086
1.42,686.343,676.673
1.43,691.064,681.258
1.44,695.784,685.841
1.45,700.502,690.421
1.46,705.219,694.998
1.47,709.934,699.574
1.48,714.647,704.146
1.49,719.359,708.717
1.5,724.07,713.285
1.51,728.779,717.85
1.52,733.487,722.413
1.53,738.193,726.974
1.54,742.897,731.532
1.55,747.601,736.088
1.56,752.302,740.641
1.57,757.003,745.192
1.58,761.701,749.741
1.59,766.399,754.287
1.6,771.095,758.831
1.61,775.789,763.372
1.62,780.482,767.911
1.63,785.173,772.448
1.64,789.863,776.982
1.65,794.552,781.514
1.66,799.239,786.043
1.67,803.924,790.57
1.68,808.608,795.095
1.69,813.291,799.617
1.7,817.972,804.137
1.71,822.652,808.654
1.72,827.33,813.169
1.73,832.007,817.682
1.74,836.682,822.192
1.75,841.356,826.7
1.76,846.029,831.206
1.77,850.7,835.709
1.78,855.369,840.209
1.79,860.037,844.708
1.8,864.704,849.204
1.81,869.369,853.697
1.82,874.033,858.189
1.83,878.695,862.678
1.84,883.356,867.164
1.85,888.016,871.648
1.86,892.674,876.13
1.87,897.33,880.61
1.88,901.986,885.087
1.89,906.639,889.561
1.9,911.292,894.034
1.91,915.942,898.504
1.92,920.592,902.972
1.93,925.24,907.437
1.94,929.887,911.9
1.95,934.532,916.361
1.96,939.176,920.819
1.97,943.818,925.275
1.98,948.459,929.728
1.99,953.098,934.18
2,957.736,938.629
2.01,962.373,943.075
2.02,967.008,947.519
2.03,971.642,951.961
2.04,976.275,956.401
2.05,980.906,960.838
2.06,985.535,965.273
2.07,990.164,969.706
2.08,994.79,974.136
2.09,999.416,978.564
2.1,1004.04,982.989
2.11,1008.66,987.413
2.12,1013.28,991.834
2.13,1017.9,996.252
2.14,1022.52,1000.67
2.15,1027.14,1005.08
2.16,1031.75,1009.49
2.17,1036.37,1013.9
2.18,1040.98,1018.31
2.19,1045.59,1022.72
2.2,1050.2,1027.12
2.21,1054.81,1031.52
2.22,1059.42,1035.92
2.23,1064.03,1040.31
2.24,1068.63,1044.7
2.25,1073.23,1049.1
2.26,1077.83,1053.48
