t,x,y
0.14416,10.1937,10.1937
0.288321,20.3874,20.1835
0.432481,30.581,29.9694
0.576642,40.7747,39.5515
0.720802,50.9684,48.9297
0.864962,61.1621,58.104
1.00912,71.3558,67.0744
1.15328,81.5494,75.841
1.29744,91.7431,84.4037
1.4416,101.937,92.7625
1.58576,112.13,100.917
1.72992,122.324,108.869
1.87409,132.518,116.616
2.01825,142.712,124.159
2.16241,152.905,131.498
2.30657,163.099,138.634
2.45073,173.293,145.566
2.59489,183.486,152.294
2.73905,193.68,158.818
2.88321,203.874,165.138
3.02737,214.067,171.254
3.17153,224.261,177.166
3.31569,234.455,182.875
3.45985,244.648,188.379
3.60401,254.842,193.68
3.74817,265.036,198.777
3.89233,275.229,203.67
4.03649,285.423,208.359
4.18065,295.617,212.844
4.32481,305.81,217.125
4.46897,316.004,221.203
4.61313,326.198,225.076
4.75729,336.391,228.746
4.90145,346.585,232.212
5.04561,356.779,235.474
5.18977,366.972,238.532
5.33393,377.166,241.386
5.4781,387.36,244.037
5.62226,397.554,246.483
5.76642,407.747,248.726
5.91058,417.941,250.765
6.05474,428.135,252.599
6.1989,438.328,254.23
6.34306,448.522,255.657
6.48722,458.716,256.881
6.63138,468.909,257.9
6.77554,479.103,258.716
6.9197,489.297,259.327
7.06386,499.49,259.735
7.20802,509.684,259.939
7.35218,519.878,259.939
7.49634,530.071,259.735
7.6405,540.265,259.327
7.78466,550.459,258.716
7.92882,560.652,257.9
8.07298,570.846,256.881
8.21714,581.04,255.657
8.3613,591.233,254.23
8.50546,601.427,252.599
8.64962,611.621,250.765
8.79378,621.814,248.726
8.93795,632.008,246.483
9.08211,642.202,244.037
9.22627,652.396,241.386
9.37043,662.589,238.532
9.51459,672.783,235.474
9.65875,682.977,232.212
9.80291,693.17,228.746
9.94707,703.364,225.076
10.0912,713.558,221.203
10.2354,723.751,217.125
10.3795,733.945,212.844
10.5237,744.139,208.359
10.6679,754.332,203.67
10.812,764.526,198.777
10.9562,774.72,193.68
11.1004,784.913,188.379
11.2445,795.107,182.875
11.3887,805.301,177.166
11.5328,815.494,171.254
11.677,825.688,165.138
11.8212,835.882,158.818
11.9653,846.075,152.294
12.1095,856.269,145.566
12.2536,866.463,138.634
12.3978,876.656,131.498
12.542,886.85,124.159
12.6861,897.044,116.616
12.8303,907.238,108.869
12.9744,917.431,100.917
13.1186,927.625,92.7625
13.2628,937.819,84.4037
13.4069,948.012,75.841
13.5511,958.206,67.0744
13.6952,968.4,58.104
13.8394,978.593,48.9297
13.9836,988.787,39.5515
14.1277,998.981,29.9694
14.2719,1009.17,20.1835
14.416,1019.37,10.1937
14.5602,1029.56,7.67386e-13
14.5602,1029.56,0
