t,x,y
0.01,0.707107,0.707107
0.02,1.41407,1.41309
0.03,2.1209,2.11795
0.04,2.82758,2.82169
0.05,3.53412,3.52431
0.06,4.24052,4.22581
0.07,4.94678,4.92619
0.08,5.6529,5.62545
0.09,6.35888,6.32358
0.1,7.06472,7.0206
0.11,7.77042,7.7165
0.12,8.47598,8.41128
0.13,9.1814,9.10494
0.14,9.88668,9.79748
0.15,10.5918,10.4889
0.16,11.2968,11.1792
0.17,12.0017,11.8684
0.18,12.7064,12.5565
0.19,13.411,13.2434
0.2,14.1154,13.9293
0.21,14.8197,14.614
0.22,15.5239,15.2976
0.23,16.2279,15.9801
0.24,16.9318,16.6615
0.25,17.6356,17.3417
0.26,18.3392,18.0209
0.27,19.0427,18.6989
0.28,19.746,19.3759
0.29,20.4492,20.0517
0.3,21.1523,20.7264
0.31,21.8552,21.3999
0.32,22.558,22.0724
0.33,23.2607,22.7438
0.34,23.9632,23.414
0.35,24.6656,24.0832
0.36,25.3678,24.7512
0.37,26.07,25.4181
0.38,26.7719,26.0839
0.39,27.4738,26.7486
0.4,28.1755,27.4122
0.41,28.877,28.0747
0.42,29.5785,28.736
0.43,30.2798,29.3963
0.44,30.9809,30.0555
0.45,31.682,30.7135
0.46,32.3829,31.3704
0.47,33.0836,32.0263
0.48,33.7842,32.681
0.49,34.4847,33.3346
0.5,35.1851,33.9871
0.51,35.8853,34.6385
0.52,36.5854,35.2888
0.53,37.2853,35.938
0.54,37.9852,36.5861
0.55,38.6849,37.2331
0.56,39.3844,37.879
0.57,40.0838,38.5237
0.58,40.7831,39.1674
0.59,41.4823,39.81
0.6,42.1813,40.4514
0.61,42.8802,41.0918
0.62,43.5789,41.7311
0.63,44.2776,42.3692
0.64,44.976,43.0063
0.65,45.6744,43.6422
0.66,46.3726,44.2771
0.67,47.0707,44.9108
0.68,47.7687,45.5435
0.69,48.4665,46.175
0.7,49.1642,46.8055
0.71,49.8618,47.4348
0.72,50.5592,48.0631
0.73,51.2565,48.6903
0.74,51.9537,49.3163
0.75,52.6508,49.9413
0.76,53.3477,50.5651
0.77,54.0445,51.1879
0.78,54.7411,51.8095
0.79,55.4376,52.4301
0.8,56.134,53.0496
0.81,56.8303,53.668
0.82,57.5264,54.2852
0.83,58.2224,54.9014
0.84,58.9183,55.5165
0.85,59.6141,56.1305
0.86,60.3097,56.7434
0.87,61.0052,57.3552
0.88,61.7005,57.9659
0.89,62.3958,58.5755
0.9,63.0909,59.184
0.91,63.7859,59.7915
0.92,64.4807,60.3978
0.93,65.1754,61.003
0.94,65.87,61.6072
0.95,66.5645,62.2102
0.96,67.2588,62.8122
0.97,67.953,63.4131
0.98,68.6471,64.0129
0.99,69.341,64.6115
1,70.0349,65.2091
1.01,70.7286,65.8056
1.02,71.4221,66.4011
1.03,72.1156,66.9954
1.04,72.8089,67.5886
1.05,73.5021,68.1808
1.06,74.1952,68.7718
1.07,74.8881,69.3618
1.08,75.5809,69.9507
1.09,76.2736,70.5385
