x,y,T
0,0,278.188
0.2,0,278.188
0.4,0,278.201
0.6,0,278.227
0.8,0,278.264
1,0,278.313
1.2,0,278.374
1.4,0,278.447
1.6,0,278.531
1.8,0,278.628
2,0,278.737
2.2,0,278.857
2.4,0,278.99
2.6,0,279.136
2.8,0,279.293
3,0,279.464
3.2,0,279.646
3.4,0,279.842
3.6,0,280.05
3.8,0,280.271
4,0,280.505
4.2,0,280.751
4.4,0,281.01
4.6,0,281.282
4.8,0,281.567
5,0,281.863
5.2,0,282.171
5.4,0,282.49
5.6,0,282.82
5.8,0,283.16
6,0,283.507
6.2,0,283.862
6.4,0,284.221
6.6,0,284.583
6.8,0,284.945
7,0,285.304
7.2,0,285.655
7.4,0,285.996
7.6,0,286.322
7.8,0,286.628
8,0,286.91
8.2,0,287.165
8.4,0,287.391
8.6,0,287.584
8.8,0,287.746
9,0,287.877
9.2,0,287.978
9.4,0,288.052
9.6,0,288.1
9.8,0,288.124
10,0,288.124

0,0.2,278.188
0.2,0.2,278.188
0.4,0.2,278.201
0.6,0.2,278.227
0.8,0.2,278.264
1,0.2,278.313
1.2,0.2,278.374
1.4,0.2,278.447
1.6,0.2,278.531
1.8,0.2,278.628
2,0.2,278.737
2.2,0.2,278.857
2.4,0.2,278.99
2.6,0.2,279.136
2.8,0.2,279.293
3,0.2,279.464
3.2,0.2,279.646
3.4,0.2,279.842
3.6,0.2,280.05
3.8,0.2,280.271
4,0.2,280.505
4.2,0.2,280.751
4.4,0.2,281.01
4.6,0.2,281.282
4.8,0.2,281.567
5,0.2,281.863
5.2,0.2,282.171
5.4,0.2,282.49
5.6,0.2,282.82
5.8,0.2,283.16
6,0.2,283.507
6.2,0.2,283.862
6.4,0.2,284.221
6.6,0.2,284.583
6.8,0.2,284.945
7,0.2,285.304
7.2,0.2,285.655
7.4,0.2,285.996
7.6,0.2,286.322
7.8,0.2,286.628
8,0.2,286.91
8.2,0.2,287.165
8.4,0.2,287.391
8.6,0.2,287.584
8.8,0.2,287.746
9,0.2,287.877
9.2,0.2,287.978
9.4,0.2,288.052
9.6,0.2,288.1
9.8,0.2,288.124
10,0.2,288.124

0,0.4,278.187
0.2,0.4,278.187
0.4,0.4,278.2
0.6,0.4,278.226
0.8,0.4,278.263
1,0.4,278.312
1.2,0.4,278.373
1.4,0.4,278.445
1.6,0.4,278.53
1.8,0.4,278.627
2,0.4,278.735
2.2,0.4,278.856
2.4,0.4,278.989
2.6,0.4,279.134
2.8,0.4,279.292
3,0.4,279.462
3.2,0.4,279.645
3.4,0.4,279.84
3.6,0.4,280.048
3.8,0.4,280.269
4,0.4,280.503
4.2,0.4,280.75
4.4,0.4,281.009
4.6,0.4,281.281
4.8,0.4,281.566
5,0.4,281.863
5.2,0.4,282.171
5.4,0.4,282.491
5.6,0.4,282.822
5.8,0.4,283.163
6,0.4,283.512
6.2,0.4,283.868
6.4,0.4,284.23
6.6,0.4,284.595
6.8,0.4,284.96
7,0.4,285.322
7.2,0.4,285.678
7.4,0.4,286.023
7.6,0.4,286.353
7.8,0.4,286.664
8,0.4,286.95
8.2,0.4,287.207
8.4,0.4,287.434
8.6,0.4,287.628
8.8,0.4,287.789
9,0.4,287.918
9.2,0.4,288.018
9.4,0.4,288.09
9.6,0.4,288.136
9.8,0.4,288.159
10,0.4,288.159

0,0.6,278.183
0.2,0.6,278.183
0.4,0.6,278.197
0.6,0.6,278.222
0.8,0.6,278.259
1,0.6,278.308
1.2,0.6,278.369
1.4,0.6,278.442
1.6,0.6,278.526
1.8,0.6,278.622
2,0.6,278.731
2.2,0.6,278.851
2.4,0.6,278.984
2.6,0.6,279.129
2.8,0.6,279.287
3,0.6,279.457
3.2,0.6,279.64
3.4,0.6,279.835
3.6,0.6,280.043
3.8,0.6,280.264
4,0.6,280.498
4.2,0.6,280.745
4.4,0.6,281.004
4.6,0.6,281.277
4.8,0.6,281.562
5,0.6,281.86
5.2,0.6,282.17
5.4,0.6,282.491
5.6,0.6,282.824
5.8,0.6,283.167
6,0.6,283.519
6.2,0.6,283.879
6.4,0.6,284.245
6.6,0.6,284.616
6.8,0.6,284.987
7,0.6,285.357
7.2,0.6,285.721
7.4,0.6,286.075
7.6,0.6,286.414
7.8,0.6,286.733
8,0.6,287.027
8.2,0.6,287.29
8.4,0.6,287.52
8.6,0.6,287.714
8.8,0.6,287.873
9,0.6,287.999
9.2,0.6,288.095
9.4,0.6,288.163
9.6,0.6,288.206
9.8,0.6,288.227
10,0.6,288.227

0,0.8,278.177
0.2,0.8,278.177
0.4,0.8,278.191
0.6,0.8,278.216
0.8,0.8,278.253
1,0.8,278.302
1.2,0.8,278.362
1.4,0.8,278.435
1.6,0.8,278.519
1.8,0.8,278.615
2,0.8,278.724
2.2,0.8,278.844
2.4,0.8,278.977
2.6,0.8,279.121
2.8,0.8,279.279
3,0.8,279.449
3.2,0.8,279.631
3.4,0.8,279.826
3.6,0.8,280.034
3.8,0.8,280.255
4,0.8,280.489
4.2,0.8,280.736
4.4,0.8,280.996
4.6,0.8,281.269
4.8,0.8,281.555
5,0.8,281.854
5.2,0.8,282.166
5.4,0.8,282.49
5.6,0.8,282.825
5.8,0.8,283.171
6,0.8,283.528
6.2,0.8,283.894
6.4,0.8,284.267
6.6,0.8,284.645
6.8,0.8,285.026
7,0.8,285.407
7.2,0.8,285.784
7.4,0.8,286.152
7.6,0.8,286.506
7.8,0.8,286.839
8,0.8,287.144
8.2,0.8,287.416
8.4,0.8,287.651
8.6,0.8,287.845
8.8,0.8,288.001
9,0.8,288.121
9.2,0.8,288.209
9.4,0.8,288.27
9.6,0.8,288.308
9.8,0.8,288.327
10,0.8,288.327

0,1,278.168
0.2,1,278.168
0.4,1,278.182
0.6,1,278.207
0.8,1,278.244
1,1,278.293
1.2,1,278.353
1.4,1,278.425
1.6,1,278.509
1.8,1,278.605
2,1,278.713
2.2,1,278.833
2.4,1,278.966
2.6,1,279.11
2.8,1,279.267
3,1,279.437
3.2,1,279.619
3.4,1,279.814
3.6,1,280.022
3.8,1,280.243
4,1,280.477
4.2,1,280.724
4.4,1,280.984
4.6,1,281.258
4.8,1,281.545
5,1,281.846
5.2,1,282.159
5.4,1,282.486
5.6,1,282.825
5.8,1,283.175
6,1,283.538
6.2,1,283.91
6.4,1,284.292
6.6,1,284.681
6.8,1,285.075
7,1,285.471
7.2,1,285.866
7.4,1,286.253
7.6,1,286.628
7.8,1,286.981
8,1,287.305
8.2,1,287.59
8.4,1,287.831
8.6,1,288.026
8.8,1,288.175
9,1,288.284
9.2,1,288.36
9.4,1,288.41
9.6,1,288.441
9.8,1,288.455
10,1,288.455

0,1.2,278.157
0.2,1.2,278.157
0.4,1.2,278.17
0.6,1.2,278.195
0.8,1.2,278.232
1,1.2,278.281
1.2,1.2,278.341
1.4,1.2,278.413
1.6,1.2,278.497
1.8,1.2,278.592
2,1.2,278.7
2.2,1.2,278.82
2.4,1.2,278.951
2.6,1.2,279.096
2.8,1.2,279.252
3,1.2,279.421
3.2,1.2,279.603
3.4,1.2,279.798
3.6,1.2,280.005
3.8,1.2,280.226
4,1.2,280.46
4.2,1.2,280.708
4.4,1.2,280.969
4.6,1.2,281.243
4.8,1.2,281.532
5,1.2,281.834
5.2,1.2,282.149
5.4,1.2,282.479
5.6,1.2,282.822
5.8,1.2,283.178
6,1.2,283.547
6.2,1.2,283.928
6.4,1.2,284.32
6.6,1.2,284.722
6.8,1.2,285.132
7,1.2,285.547
7.2,1.2,285.964
7.4,1.2,286.378
7.6,1.2,286.78
7.8,1.2,287.163
8,1.2,287.513
8.2,1.2,287.818
8.4,1.2,288.068
8.6,1.2,288.261
8.8,1.2,288.399
9,1.2,288.491
9.2,1.2,288.548
9.4,1.2,288.581
9.6,1.2,288.599
9.8,1.2,288.606
10,1.2,288.606

0,1.4,278.143
0.2,1.4,278.143
0.4,1.4,278.156
0.6,1.4,278.181
0.8,1.4,278.218
1,1.4,278.266
1.2,1.4,278.326
1.4,1.4,278.397
1.6,1.4,278.481
1.8,1.4,278.576
2,1.4,278.683
2.2,1.4,278.803
2.4,1.4,278.934
2.6,1.4,279.078
2.8,1.4,279.234
3,1.4,279.402
3.2,1.4,279.584
3.4,1.4,279.778
3.6,1.4,279.985
3.8,1.4,280.206
4,1.4,280.44
4.2,1.4,280.687
4.4,1.4,280.949
4.6,1.4,281.224
4.8,1.4,281.513
5,1.4,281.817
5.2,1.4,282.135
5.4,1.4,282.468
5.6,1.4,282.815
5.8,1.4,283.177
6,1.4,283.553
6.2,1.4,283.943
6.4,1.4,284.347
6.6,1.4,284.764
6.8,1.4,285.192
7,1.4,285.631
7.2,1.4,286.075
7.4,1.4,286.522
7.6,1.4,286.963
7.8,1.4,287.387
8,1.4,287.776
8.2,1.4,288.109
8.4,1.4,288.372
