x,y,T
0,0,291.14
0.2,0,291.14
0.4,0,291.233
0.6,0,291.343
0.8,0,291.471
1,0,291.617
1.2,0,291.782
1.4,0,291.965
1.6,0,292.167
1.8,0,292.387
2,0,292.626
2.2,0,292.884
2.4,0,293.162
2.6,0,293.459
2.8,0,293.775
3,0,294.112
3.2,0,294.468
3.4,0,294.845
3.6,0,295.242
3.8,0,295.66
4,0,296.098
4.2,0,296.557
4.4,0,297.037
4.6,0,297.536
4.8,0,298.056
5,0,298.595
5.2,0,299.152
5.4,0,299.728
5.6,0,300.319
5.8,0,300.925
6,0,301.543
6.2,0,302.17
6.4,0,302.802
6.6,0,303.436
6.8,0,304.065
7,0,304.684
7.2,0,305.286
7.4,0,305.862
7.6,0,306.404
7.8,0,306.904
8,0,307.353
8.2,0,307.744
8.4,0,308.073
8.6,0,308.336
8.8,0,308.533
9,0,308.665
9.2,0,308.736
9.4,0,308.749
9.6,0,308.708
9.8,0,308.615
10,0,308.615

0,0.2,291.14
0.2,0.2,291.213
0.4,0.2,291.306
0.6,0.2,291.416
0.8,0.2,291.545
1,0.2,291.692
1.2,0.2,291.857
1.4,0.2,292.041
1.6,0.2,292.243
1.8,0.2,292.464
2,0.2,292.705
2.2,0.2,292.964
2.4,0.2,293.242
2.6,0.2,293.54
2.8,0.2,293.858
3,0.2,294.196
3.2,0.2,294.554
3.4,0.2,294.932
3.6,0.2,295.331
3.8,0.2,295.751
4,0.2,296.191
4.2,0.2,296.651
4.4,0.2,297.133
4.6,0.2,297.634
4.8,0.2,298.156
5,0.2,298.697
5.2,0.2,299.257
5.4,0.2,299.835
5.6,0.2,300.428
5.8,0.2,301.036
6,0.2,301.657
6.2,0.2,302.286
6.4,0.2,302.921
6.6,0.2,303.557
6.8,0.2,304.189
7,0.2,304.811
7.2,0.2,305.415
7.4,0.2,305.993
7.6,0.2,306.537
7.8,0.2,307.039
8,0.2,307.49
8.2,0.2,307.883
8.4,0.2,308.213
8.6,0.2,308.477
8.8,0.2,308.675
9,0.2,308.808
9.2,0.2,308.879
9.4,0.2,308.892
9.6,0.2,308.85
9.8,0.2,308.758
10,0.2,308.615

0,0.4,291.207
0.2,0.4,291.28
0.4,0.4,291.373
0.6,0.4,291.484
0.8,0.4,291.613
1,0.4,291.76
1.2,0.4,291.926
1.4,0.4,292.11
1.6,0.4,292.313
1.8,0.4,292.535
2,0.4,292.776
2.2,0.4,293.036
2.4,0.4,293.316
2.6,0.4,293.615
2.8,0.4,293.934
3,0.4,294.273
3.2,0.4,294.632
3.4,0.4,295.012
3.6,0.4,295.412
3.8,0.4,295.833
4,0.4,296.275
4.2,0.4,296.738
4.4,0.4,297.221
4.6,0.4,297.725
4.8,0.4,298.249
5,0.4,298.793
5.2,0.4,299.356
5.4,0.4,299.938
5.6,0.4,300.536
5.8,0.4,301.149
6,0.4,301.774
6.2,0.4,302.41
6.4,0.4,303.052
6.6,0.4,303.696
6.8,0.4,304.336
