x,y,T
0,0,340.865
0.2,0,340.865
0.4,0,340.879
0.6,0,340.905
0.8,0,340.944
1,0,340.995
1.2,0,341.058
1.4,0,341.134
1.6,0,341.222
1.8,0,341.322
2,0,341.435
2.2,0,341.561
2.4,0,341.698
2.6,0,341.849
2.8,0,342.012
3,0,342.189
3.2,0,342.378
3.4,0,342.58
3.6,0,342.794
3.8,0,343.022
4,0,343.263
4.2,0,343.517
4.4,0,343.784
4.6,0,344.063
4.8,0,344.355
5,0,344.659
5.2,0,344.974
5.4,0,345.301
5.6,0,345.638
5.8,0,345.985
6,0,346.34
6.2,0,346.701
6.4,0,347.067
6.6,0,347.436
6.8,0,347.804
7,0,348.169
7.2,0,348.527
7.4,0,348.873
7.6,0,349.204
7.8,0,349.515
8,0,349.802
8.2,0,350.061
8.4,0,350.29
8.6,0,350.487
8.8,0,350.651
9,0,350.784
9.2,0,350.888
9.4,0,350.963
9.6,0,351.012
9.8,0,351.036
10,0,351.036

0,0.2,340.865
0.2,0.2,340.865
0.4,0.2,340.879
0.6,0.2,340.905
0.8,0.2,340.944
1,0.2,340.995
1.2,0.2,341.058
1.4,0.2,341.134
1.6,0.2,341.222
1.8,0.2,341.322
2,0.2,341.435
2.2,0.2,341.561
2.4,0.2,341.698
2.6,0.2,341.849
2.8,0.2,342.012
3,0.2,342.189
3.2,0.2,342.378
3.4,0.2,342.58
3.6,0.2,342.794
3.8,0.2,343.022
4,0.2,343.263
4.2,0.2,343.517
4.4,0.2,343.784
4.6,0.2,344.063
4.8,0.2,344.355
5,0.2,344.659
5.2,0.2,344.974
5.4,0.2,345.301
5.6,0.2,345.638
5.8,0.2,345.985
6,0.2,346.34
6.2,0.2,346.701
6.4,0.2,347.067
6.6,0.2,347.436
6.8,0.2,347.804
7,0.2,348.169
7.2,0.2,348.527
7.4,0.2,348.873
7.6,0.2,349.204
7.8,0.2,349.515
8,0.2,349.802
8.2,0.2,350.061
8.4,0.2,350.29
8.6,0.2,350.487
8.8,0.2,350.651
9,0.2,350.784
9.2,0.2,350.888
9.4,0.2,350.963
9.6,0.2,351.012
9.8,0.2,351.036
10,0.2,351.036

0,0.4,340.863
0.2,0.4,340.863
0.4,0.4,340.878
0.6,0.4,340.904
0.8,0.4,340.943
1,0.4,340.994
1.2,0.4,341.057
1.4,0.4,341.132
1.6,0.4,341.22
1.8,0.4,341.321
2,0.4,341.434
2.2,0.4,341.559
2.4,0.4,341.697
2.6,0.4,341.847
2.8,0.4,342.011
3,0.4,342.187
3.2,0.4,342.376
3.4,0.4,342.577
3.6,0.4,342.792
3.8,0.4,343.02
4,0.4,343.261
4.2,0.4,343.515
4.4,0.4,343.782
4.6,0.4,344.061
4.8,0.4,344.353
5,0.4,344.658
5.2,0.4,344.974
5.4,0.4,345.302
5.6,0.4,345.64
5.8,0.4,345.988
6,0.4,346.344
6.2,0.4,346.707
6.4,0.4,347.076
6.6,0.4,347.447
6.8,0.4,347.819
7,0.4,348.187
7.2,0.4,348.549
7.4,0.4,348.9
7.6,0.4,349.235
7.8,0.4,349.55
8,0.4,349.841
8.2,0.4,350.102
8.4,0.4,350.333
8.6,0.4,350.53
8.8,0.4,350.694
9,0.4,350.825
9.2,0.4,350.927
9.4,0.4,351
9.6,0.4,351.048
9.8,0.4,351.071
10,0.4,351.071

0,0.6,340.859
0.2,0.6,340.859
0.4,0.6,340.873
0.6,0.6,340.9
0.8,0.6,340.938
1,0.6,340.989
1.2,0.6,341.052
1.4,0.6,341.128
1.6,0.6,341.216
1.8,0.6,341.316
2,0.6,341.429
2.2,0.6,341.554
2.4,0.6,341.692
2.6,0.6,341.842
2.8,0.6,342.005
3,0.6,342.181
3.2,0.6,342.37
3.4,0.6,342.572
3.6,0.6,342.786
3.8,0.6,343.014
4,0.6,343.255
4.2,0.6,343.509
4.4,0.6,343.776
4.6,0.6,344.056
4.8,0.6,344.349
5,0.6,344.654
5.2,0.6,344.972
5.4,0.6,345.301
5.6,0.6,345.641
5.8,0.6,345.991
6,0.6,346.351
6.2,0.6,346.718
6.4,0.6,347.091
6.6,0.6,347.468
6.8,0.6,347.846
7,0.6,348.221
7.2,0.6,348.592
7.4,0.6,348.951
7.6,0.6,349.296
7.8,0.6,349.619
8,0.6,349.917
8.2,0.6,350.184
8.4,0.6,350.418
8.6,0.6,350.615
8.8,0.6,350.777
9,0.6,350.906
9.2,0.6,351.003
9.4,0.6,351.072
9.6,0.6,351.117
9.8,0.6,351.138
10,0.6,351.138

0,0.8,340.852
0.2,0.8,340.852
0.4,0.8,340.866
0.6,0.8,340.893
0.8,0.8,340.931
1,0.8,340.982
1.2,0.8,341.045
1.4,0.8,341.12
1.6,0.8,341.208
1.8,0.8,341.308
2,0.8,341.42
2.2,0.8,341.545
2.4,0.8,341.683
2.6,0.8,341.833
2.8,0.8,341.996
3,0.8,342.172
3.2,0.8,342.36
3.4,0.8,342.562
3.6,0.8,342.777
3.8,0.8,343.005
4,0.8,343.246
4.2,0.8,343.5
4.4,0.8,343.767
4.6,0.8,344.048
4.8,0.8,344.342
5,0.8,344.648
5.2,0.8,344.967
5.4,0.8,345.298
5.6,0.8,345.641
5.8,0.8,345.995
6,0.8,346.358
6.2,0.8,346.731
6.4,0.8,347.111
6.6,0.8,347.496
6.8,0.8,347.883
7,0.8,348.271
7.2,0.8,348.653
7.4,0.8,349.027
7.6,0.8,349.386
7.8,0.8,349.723
8,0.8,350.033
8.2,0.8,350.309
8.4,0.8,350.548
8.6,0.8,350.746
8.8,0.8,350.904
9,0.8,351.026
9.2,0.8,351.116
9.4,0.8,351.179
9.6,0.8,351.218
9.8,0.8,351.237
10,0.8,351.237

0,1,340.842
0.2,1,340.842
0.4,1,340.856
0.6,1,340.882
0.8,1,340.921
1,1,340.971
