x,y,T
0,0,298.974
0.2,0,298.974
0.4,0,299.002
0.6,0,299.055
0.8,0,299.132
1,0,299.234
1.2,0,299.361
1.4,0,299.512
1.6,0,299.688
1.8,0,299.888
2,0,300.114
2.2,0,300.364
2.4,0,300.64
2.6,0,300.941
2.8,0,301.267
3,0,301.619
3.2,0,301.997
3.4,0,302.4
3.6,0,302.83
3.8,0,303.285
4,0,303.766
4.2,0,304.274
4.4,0,304.806
4.6,0,305.365
4.8,0,305.948
5,0,306.555
5.2,0,307.186
5.4,0,307.839
5.6,0,308.513
5.8,0,309.206
6,0,309.915
6.2,0,310.638
6.4,0,311.37
6.6,0,312.107
6.8,0,312.843
7,0,313.573
7.2,0,314.288
7.4,0,314.98
7.6,0,315.642
7.8,0,316.263
8,0,316.836
8.2,0,317.354
8.4,0,317.812
8.6,0,318.205
8.8,0,318.534
9,0,318.8
9.2,0,319.007
9.4,0,319.157
9.6,0,319.255
9.8,0,319.303
10,0,319.303

0,0.2,298.974
0.2,0.2,298.974
0.4,0.2,299.002
0.6,0.2,299.055
0.8,0.2,299.132
1,0.2,299.234
1.2,0.2,299.361
1.4,0.2,299.512
1.6,0.2,299.688
1.8,0.2,299.888
2,0.2,300.114
2.2,0.2,300.364
2.4,0.2,300.64
2.6,0.2,300.941
2.8,0.2,301.267
3,0.2,301.619
3.2,0.2,301.997
3.4,0.2,302.4
3.6,0.2,302.83
3.8,0.2,303.285
4,0.2,303.766
4.2,0.2,304.274
4.4,0.2,304.806
4.6,0.2,305.365
4.8,0.2,305.948
5,0.2,306.555
5.2,0.2,307.186
5.4,0.2,307.839
5.6,0.2,308.513
5.8,0.2,309.206
6,0.2,309.915
6.2,0.2,310.638
6.4,0.2,311.37
6.6,0.2,312.107
6.8,0.2,312.843
7,0.2,313.573
7.2,0.2,314.288
7.4,0.2,314.98
7.6,0.2,315.642
7.8,0.2,316.263
8,0.2,316.836
8.2,0.2,317.354
8.4,0.2,317.812
8.6,0.2,318.205
8.8,0.2,318.534
9,0.2,318.8
9.2,0.2,319.007
9.4,0.2,319.157
9.6,0.2,319.255
9.8,0.2,319.303
10,0.2,319.303

0,0.4,298.972
0.2,0.4,298.972
0.4,0.4,299
0.6,0.4,299.052
0.8,0.4,299.13
1,0.4,299.232
1.2,0.4,299.358
1.4,0.4,299.509
1.6,0.4,299.685
1.8,0.4,299.885
2,0.4,300.11
2.2,0.4,300.361
2.4,0.4,300.636
2.6,0.4,300.937
2.8,0.4,301.263
3,0.4,301.615
3.2,0.4,301.993
3.4,0.4,302.396
3.6,0.4,302.826
3.8,0.4,303.281
4,0.4,303.762
4.2,0.4,304.27
4.4,0.4,304.803
4.6,0.4,305.361
4.8,0.4,305.945
5,0.4,306.554
5.2,0.4,307.186
5.4,0.4,307.84
5.6,0.4,308.516
5.8,0.4,309.212
6,0.4,309.924
6.2,0.4,310.65
6.4,0.4,311.387
6.6,0.4,312.129
6.8,0.4,312.872
7,0.4,313.609
7.2,0.4,314.332
7.4,0.4,315.033
7.6,0.4,315.703
7.8,0.4,316.333
8,0.4,316.914
8.2,0.4,317.437
8.4,0.4,317.897
8.6,0.4,318.291
8.8,0.4,318.619
9,0.4,318.882
9.2,0.4,319.085
9.4,0.4,319.231
9.6,0.4,319.326
9.8,0.4,319.373
10,0.4,319.373

0,0.6,298.964
0.2,0.6,298.964
0.4,0.6,298.992
0.6,0.6,299.044
0.8,0.6,299.121
1,0.6,299.223
1.2,0.6,299.349
1.4,0.6,299.5
1.6,0.6,299.675
1.8,0.6,299.876
2,0.6,300.101
2.2,0.6,300.351
2.4,0.6,300.626
2.6,0.6,300.926
2.8,0.6,301.252
3,0.6,301.604
3.2,0.6,301.981
3.4,0.6,302.385
3.6,0.6,302.814
3.8,0.6,303.269
4,0.6,303.751
4.2,0.6,304.258
4.4,0.6,304.792
4.6,0.6,305.352
4.8,0.6,305.937
5,0.6,306.547
5.2,0.6,307.181
5.4,0.6,307.839
5.6,0.6,308.518
5.8,0.6,309.219
6,0.6,309.937
6.2,0.6,310.671
6.4,0.6,311.416
6.6,0.6,312.17
6.8,0.6,312.925
7,0.6,313.677
7.2,0.6,314.417
7.4,0.6,315.136
7.6,0.6,315.824
7.8,0.6,316.471
8,0.6,317.067
8.2,0.6,317.601
8.4,0.6,318.067
8.6,0.6,318.462
8.8,0.6,318.787
9,0.6,319.043
9.2,0.6,319.237
9.4,0.6,319.376
9.6,0.6,319.465
9.8,0.6,319.508
10,0.6,319.508

0,0.8,298.949
0.2,0.8,298.949
0.4,0.8,298.977
0.6,0.8,299.03
0.8,0.8,299.107
1,0.8,299.208
1.2,0.8,299.334
1.4,0.8,299.485
1.6,0.8,299.66
1.8,0.8,299.86
2,0.8,300.084
2.2,0.8,300.334
2.4,0.8,300.609
2.6,0.8,300.909
2.8,0.8,301.234
3,0.8,301.585
3.2,0.8,301.962
3.4,0.8,302.365
3.6,0.8,302.794
3.8,0.8,303.25
4,0.8,303.732
4.2,0.8,304.24
4.4,0.8,304.774
4.6,0.8,305.335
4.8,0.8,305.921
5,0.8,306.534
5.2,0.8,307.171
5.4,0.8,307.833
5.6,0.8,308.519
5.8,0.8,309.226
6,0.8,309.953
6.2,0.8,310.698
6.4,0.8,311.457
6.6,0.8,312.226
6.8,0.8,313.001
7,0.8,313.775
7.2,0.8,314.54
7.4,0.8,315.287
7.6,0.8,316.005
7.8,0.8,316.679
8,0.8,317.299
8.2,0.8,317.851
8.4,0.8,318.327
8.6,0.8,318.723
8.8,0.8,319.04
9,0.8,319.284
9.2,0.8,319.464
9.4,0.8,319.589
9.6,0.8,319.667
9.8,0.8,319.705
10,0.8,319.705

0,1,298.929
0.2,1,298.929
0.4,1,298.957
0.6,1,299.01
0.8,1,299.086
1,1,299.188
1.2,1,299.313
1.4,1,299.463
1.6,1,299.638
1.8,1,299.837
2,1,300.061
2.2,1,300.31
2.4,1,300.584
2.6,1,300.884
2.8,1,301.209
3,1,301.559
3.2,1,301.936
3.4,1,302.338
3.6,1,302.767
3.8,1,303.222
4,1,303.704
4.2,1,304.213
4.4,1,304.748
4.6,1,305.31
4.8,1,305.899
5,1,306.514
5.2,1,307.156
5.4,1,307.823
5.6,1,308.515
5.8,1,309.231
6,1,309.97
6.2,1,310.728
6.4,1,311.505
6.6,1,312.296
6.8,1,313.097
7,1,313.901
7.2,1,314.701
7.4,1,315.487
7.6,1,316.246
7.8,1,316.961
8,1,317.617
8.2,1,318.196
8.4,1,318.686
8.6,1,319.081
8.8,1,319.385
9,1,319.608
9.2,1,319.764
9.4,1,319.867
9.6,1,319.929
9.8,1,319.958
10,1,319.958

0,1.2,298.904
0.2,1.2,298.904
0.4,1.2,298.931
0.6,1.2,298.983
0.8,1.2,299.06
1,1.2,299.161
1.2,1.2,299.286
1.4,1.2,299.435
1.6,1.2,299.609
1.8,1.2,299.808
2,1.2,300.032
2.2,1.2,300.28
2.4,1.2,300.553
2.6,1.2,300.852
2.8,1.2,301.176
3,1.2,301.526
3.2,1.2,301.901
3.4,1.2,302.303
3.6,1.2,302.732
3.8,1.2,303.187
4,1.2,303.668
4.2,1.2,304.177
4.4,1.2,304.713
4.6,1.2,305.277
4.8,1.2,305.868
5,1.2,306.487
5.2,1.2,307.133
5.4,1.2,307.806
5.6,1.2,308.506
5.8,1.2,309.233
6,1.2,309.984
6.2,1.2,310.76
6.4,1.2,311.557
6.6,1.2,312.374
6.8,1.2,313.206
7,1.2,314.049
7.2,1.2,314.894
7.4,1.2,315.732
7.6,1.2,316.548
7.8,1.2,317.322
8,1.2,318.031
8.2,1.2,318.648
8.4,1.2,319.156
8.6,1.2,319.549
8.8,1.2,319.83
9,1.2,320.018
9.2,1.2,320.135
9.4,1.2,320.204
9.6,1.2,320.241
9.8,1.2,320.257
10,1.2,320.257

0,1.4,298.872
0.2,1.4,298.872
0.4,1.4,298.899
0.6,1.4,298.951
0.8,1.4,299.027
1,1.4,299.128
1.2,1.4,299.252
1.4,1.4,299.401
1.6,1.4,299.575
1.8,1.4,299.773
2,1.4,299.995
2.2,1.4,300.242
2.4,1.4,300.515
2.6,1.4,300.812
2.8,1.4,301.135
3,1.4,301.484
3.2,1.4,301.859
3.4,1.4,302.26
3.6,1.4,302.688
3.8,1.4,303.142
4,1.4,303.624
4.2,1.4,304.133
4.4,1.4,304.67
4.6,1.4,305.235
4.8,1.4,305.828
5,1.4,306.45
5.2,1.4,307.101
5.4,1.4,307.781
5.6,1.4,308.489
5.8,1.4,309.227
6,1.4,309.993
6.2,1.4,310.787
6.4,1.4,311.608
6.6,1.4,312.455
6.8,1.4,313.324
7,1.4,314.212
7.2,1.4,315.113
7.4,1.4,316.017
7.6,1.4,316.909
7.8,1.4,317.766
8,1.4,318.553
8.2,1.4,319.228
8.4,1.4,319.762
8.6,1.4,320.145
8.8,1.4,320.387
9,1.4,320.515
9.2,1.4,320.572
9.4,1.4,320.591
9.6,1.4,320.593
9.8,1.4,320.592
10,1.4,320.592

0,1.6,298.834
0.2,1.6,298.834
0.4,1.6,298.862
0.6,1.6,298.913
0.8,1.6,298.989
1,1.6,299.089
1.2,1.6,299.213
1.4,1.6,299.361
1.6,1.6,299.534
1.8,1.6,299.73
2,1.6,299.952
2.2,1.6,300.198
2.4,1.6,300.469
2.6,1.6,300.766
