x,y,T
0,0,273
0.2,0,273
0.4,0,273
0.6,0,273
0.8,0,273
1,0,273
1.2,0,273
1.4,0,273
1.6,0,273
1.8,0,273
2,0,273
2.2,0,273
2.4,0,273
2.6,0,273
2.8,0,273
3,0,273
3.2,0,273
3.4,0,273
3.6,0,273
3.8,0,273
4,0,273
4.2,0,273
4.4,0,273
4.6,0,273
4.8,0,273
5,0,273
5.2,0,273
5.4,0,273
5.6,0,273
5.8,0,273
6,0,273
6.2,0,273.001
6.4,0,273.002
6.6,0,273.004
6.8,0,273.007
7,0,273.012
7.2,0,273.018
7.4,0,273.027
7.6,0,273.037
7.8,0,273.048
8,0,273.059
8.2,0,273.067
8.4,0,273.073
8.6,0,273.074
8.8,0,273.072
9,0,273.067
9.2,0,273.06
9.4,0,273.053
9.6,0,273.047
9.8,0,273.044
10,0,273.044

0,0.2,273
0.2,0.2,273
0.4,0.2,273
0.6,0.2,273
0.8,0.2,273
1,0.2,273
1.2,0.2,273
1.4,0.2,273
1.6,0.2,273
1.8,0.2,273
2,0.2,273
2.2,0.2,273
2.4,0.2,273
2.6,0.2,273
2.8,0.2,273
3,0.2,273
3.2,0.2,273
3.4,0.2,273
3.6,0.2,273
3.8,0.2,273
4,0.2,273
4.2,0.2,273
4.4,0.2,273
4.6,0.2,273
4.8,0.2,273
5,0.2,273
5.2,0.2,273
5.4,0.2,273
5.6,0.2,273
5.8,0.2,273
6,0.2,273
6.2,0.2,273.001
6.4,0.2,273.002
6.6,0.2,273.004
6.8,0.2,273.007
7,0.2,273.012
7.2,0.2,273.018
7.4,0.2,273.027
7.6,0.2,273.037
7.8,0.2,273.049
8,0.2,273.059
8.2,0.2,273.068
8.4,0.2,273.073
8.6,0.2,273.075
8.8,0.2,273.072
9,0.2,273.067
9.2,0.2,273.06
9.4,0.2,273.053
9.6,0.2,273.047
9.8,0.2,273.044
10,0.2,273.044

0,0.4,273
0.2,0.4,273
0.4,0.4,273
0.6,0.4,273
0.8,0.4,273
1,0.4,273
1.2,0.4,273
1.4,0.4,273
1.6,0.4,273
1.8,0.4,273
2,0.4,273
2.2,0.4,273
2.4,0.4,273
2.6,0.4,273
2.8,0.4,273
3,0.4,273
3.2,0.4,273
3.4,0.4,273
3.6,0.4,273
3.8,0.4,273
4,0.4,273
4.2,0.4,273
4.4,0.4,273
4.6,0.4,273
4.8,0.4,273
5,0.4,273
5.2,0.4,273
5.4,0.4,273
5.6,0.4,273
5.8,0.4,273
6,0.4,273.001
6.2,0.4,273.002
6.4,0.4,273.003
6.6,0.4,273.006
6.8,0.4,273.011
7,0.4,273.018
7.2,0.4,273.028
7.4,0.4,273.041
7.6,0.4,273.057
7.8,0.4,273.073
8,0.4,273.088
8.2,0.4,273.1
8.4,0.4,273.107
8.6,0.4,273.108
8.8,0.4,273.104
9,0.4,273.096
9.2,0.4,273.085
9.4,0.4,273.074
9.6,0.4,273.066
9.8,0.4,273.061
10,0.4,273.061

0,0.6,273
0.2,0.6,273
0.4,0.6,273
0.6,0.6,273
0.8,0.6,273
1,0.6,273
1.2,0.6,273
1.4,0.6,273
1.6,0.6,273
1.8,0.6,273
2,0.6,273
2.2,0.6,273
2.4,0.6,273
2.6,0.6,273
2.8,0.6,273
3,0.6,273
3.2,0.6,273
3.4,0.6,273
3.6,0.6,273
3.8,0.6,273
4,0.6,273
4.2,0.6,273
4.4,0.6,273
4.6,0.6,273
4.8,0.6,273
5,0.6,273
5.2,0.6,273
5.4,0.6,273
5.6,0.6,273
5.8,0.6,273.001
6,0.6,273.001
6.2,0.6,273.003
6.4,0.6,273.006
6.6,0.6,273.011
6.8,0.6,273.019
7,0.6,273.031
7.2,0.6,273.048
7.4,0.6,273.07
7.6,0.6,273.095
7.8,0.6,273.121
8,0.6,273.146
8.2,0.6,273.165
8.4,0.6,273.175
8.6,0.6,273.176
8.8,0.6,273.167
9,0.6,273.152
9.2,0.6,273.133
9.4,0.6,273.115
9.6,0.6,273.1
9.8,0.6,273.092
10,0.6,273.092

0,0.8,273
0.2,0.8,273
0.4,0.8,273
0.6,0.8,273
0.8,0.8,273
1,0.8,273
1.2,0.8,273
1.4,0.8,273
1.6,0.8,273
1.8,0.8,273
2,0.8,273
2.2,0.8,273
2.4,0.8,273
2.6,0.8,273
2.8,0.8,273
3,0.8,273
3.2,0.8,273
3.4,0.8,273
3.6,0.8,273
3.8,0.8,273
4,0.8,273
4.2,0.8,273
4.4,0.8,273
4.6,0.8,273
4.8,0.8,273
5,0.8,273
5.2,0.8,273
5.4,0.8,273
5.6,0.8,273
5.8,0.8,273.001
6,0.8,273.002
6.2,0.8,273.005
6.4,0.8,273.01
6.6,0.8,273.019
6.8,0.8,273.033
7,0.8,273.053
7.2,0.8,273.081
7.4,0.8,273.117
7.6,0.8,273.16
7.8,0.8,273.205
8,0.8,273.247
8.2,0.8,273.278
8.4,0.8,273.294
8.6,0.8,273.293
8.8,0.8,273.275
9,0.8,273.246
9.2,0.8,273.212
9.4,0.8,273.18
9.6,0.8,273.156
9.8,0.8,273.142
10,0.8,273.142

0,1,273
0.2,1,273
0.4,1,273
0.6,1,273
0.8,1,273
1,1,273
1.2,1,273
1.4,1,273
1.6,1,273
1.8,1,273
2,1,273
2.2,1,273
2.4,1,273
2.6,1,273
2.8,1,273
3,1,273
3.2,1,273
3.4,1,273
3.6,1,273
3.8,1,273
4,1,273
4.2,1,273
4.4,1,273
4.6,1,273
4.8,1,273
5,1,273
5.2,1,273
5.4,1,273
5.6,1,273.001
5.8,1,273.002
6,1,273.004
6.2,1,273.009
6.4,1,273.017
6.6,1,273.031
6.8,1,273.053
7,1,273.086
7.2,1,273.132
7.4,1,273.192
7.6,1,273.264
7.8,1,273.34
8,1,273.411
8.2,1,273.465
8.4,1,273.49
8.6,1,273.484
8.8,1,273.45
9,1,273.396
9.2,1,273.335
9.4,1,273.279
9.6,1,273.238
9.8,1,273.215
10,1,273.214

0,1.2,273
0.2,1.2,273
0.4,1.2,273
0.6,1.2,273
0.8,1.2,273
1,1.2,273
1.2,1.2,273
1.4,1.2,273
1.6,1.2,273
1.8,1.2,273
2,1.2,273
2.2,1.2,273
2.4,1.2,273
2.6,1.2,273
2.8,1.2,273
3,1.2,273
3.2,1.2,273
3.4,1.2,273
3.6,1.2,273
3.8,1.2,273
4,1.2,273
4.2,1.2,273
4.4,1.2,273
4.6,1.2,273
4.8,1.2,273
5,1.2,273
5.2,1.2,273
5.4,1.2,273.001
5.6,1.2,273.001
5.8,1.2,273.003
6,1.2,273.007
6.2,1.2,273.014
6.4,1.2,273.027
6.6,1.2,273.048
6.8,1.2,273.083
7,1.2,273.134
