x,y,T
0,0,286.472
0.2,0,286.472
0.4,0,286.534
0.6,0,286.605
0.8,0,286.685
1,0,286.772
1.2,0,286.868
1.4,0,286.973
1.6,0,287.086
1.8,0,287.208
2,0,287.338
2.2,0,287.478
2.4,0,287.626
2.6,0,287.783
2.8,0,287.95
3,0,288.125
3.2,0,288.31
3.4,0,288.505
3.6,0,288.708
3.8,0,288.922
4,0,289.145
4.2,0,289.377
4.4,0,289.62
4.6,0,289.871
4.8,0,290.132
5,0,290.402
5.2,0,290.68
5.4,0,290.966
5.6,0,291.26
5.8,0,291.56
6,0,291.866
6.2,0,292.175
6.4,0,292.487
6.6,0,292.798
6.8,0,293.107
7,0,293.409
7.2,0,293.702
7.4,0,293.982
7.6,0,294.244
7.8,0,294.484
8,0,294.698
8.2,0,294.883
8.4,0,295.035
8.6,0,295.154
8.8,0,295.239
9,0,295.291
9.2,0,295.312
9.4,0,295.303
9.6,0,295.266
9.8,0,295.203
10,0,295.203

0,0.2,286.472
0.2,0.2,286.526
0.4,0.2,286.589
0.6,0.2,286.66
0.8,0.2,286.739
1,0.2,286.827
1.2,0.2,286.924
1.4,0.2,287.029
1.6,0.2,287.142
1.8,0.2,287.265
2,0.2,287.396
2.2,0.2,287.535
2.4,0.2,287.684
2.6,0.2,287.842
2.8,0.2,288.009
3,0.2,288.186
3.2,0.2,288.371
3.4,0.2,288.567
3.6,0.2,288.771
3.8,0.2,288.986
4,0.2,289.209
4.2,0.2,289.443
4.4,0.2,289.686
4.6,0.2,289.939
4.8,0.2,290.2
5,0.2,290.471
5.2,0.2,290.751
5.4,0.2,291.038
5.6,0.2,291.333
5.8,0.2,291.635
6,0.2,291.941
6.2,0.2,292.252
6.4,0.2,292.565
6.6,0.2,292.877
6.8,0.2,293.187
7,0.2,293.491
7.2,0.2,293.785
7.4,0.2,294.066
7.6,0.2,294.329
7.8,0.2,294.57
8,0.2,294.785
8.2,0.2,294.97
8.4,0.2,295.123
8.6,0.2,295.243
8.8,0.2,295.328
9,0.2,295.38
9.2,0.2,295.401
9.4,0.2,295.392
9.6,0.2,295.355
9.8,0.2,295.292
10,0.2,295.203

0,0.4,286.522
0.2,0.4,286.576
0.4,0.4,286.639
0.6,0.4,286.71
0.8,0.4,286.79
1,0.4,286.878
1.2,0.4,286.975
1.4,0.4,287.08
1.6,0.4,287.194
1.8,0.4,287.317
2,0.4,287.449
2.2,0.4,287.589
2.4,0.4,287.738
2.6,0.4,287.897
2.8,0.4,288.064
3,0.4,288.241
3.2,0.4,288.428
3.4,0.4,288.624
3.6,0.4,288.829
3.8,0.4,289.044
4,0.4,289.269
4.2,0.4,289.503
4.4,0.4,289.748
4.6,0.4,290.001
4.8,0.4,290.264
5,0.4,290.537
5.2,0.4,290.818
5.4,0.4,291.107
5.6,0.4,291.404
5.8,0.4,291.708
6,0.4,292.018
6.2,0.4,292.331
6.4,0.4,292.647
6.6,0.4,292.964
6.8,0.4,293.278
7,0.4,293.587
7.2,0.4,293.886
7.4,0.4,294.172
7.6,0.4,294.441
7.8,0.4,294.687
8,0.4,294.906
8.2,0.4,295.094
8.4,0.4,295.25
8.6,0.4,295.37
8.8,0.4,295.455
9,0.4,295.506
9.2,0.4,295.525
9.4,0.4,295.514
9.6,0.4,295.475
9.8,0.4,295.411
10,0.4,295.321

0,0.6,286.567
0.2,0.6,286.621
0.4,0.6,286.684
0.6,0.6,286.756
0.8,0.6,286.836
1,0.6,286.925
1.2,0.6,287.022
1.4,0.6,287.127
1.6,0.6,287.242
1.8,0.6,287.365
2,0.6,287.496
2.2,0.6,287.637
2.4,0.6,287.787
2.6,0.6,287.946
2.8,0.6,288.114
3,0.6,288.291
3.2,0.6,288.478
3.4,0.6,288.675
3.6,0.6,288.881
3.8,0.6,289.097
4,0.6,289.323
4.2,0.6,289.558
4.4,0.6,289.803
4.6,0.6,290.058
4.8,0.6,290.323
5,0.6,290.597
5.2,0.6,290.881
5.4,0.6,291.172
5.6,0.6,291.472
5.8,0.6,291.78
6,0.6,292.093
6.2,0.6,292.412
6.4,0.6,292.734
6.6,0.6,293.057
