x,y,T
0,0,277.161
0.2,0,277.161
0.4,0,277.189
0.6,0,277.225
0.8,0,277.272
1,0,277.328
1.2,0,277.393
1.4,0,277.469
1.6,0,277.554
1.8,0,277.649
2,0,277.754
2.2,0,277.869
2.4,0,277.994
2.6,0,278.13
2.8,0,278.276
3,0,278.432
3.2,0,278.6
3.4,0,278.778
3.6,0,278.966
3.8,0,279.166
4,0,279.377
4.2,0,279.599
4.4,0,279.832
4.6,0,280.076
4.8,0,280.33
5,0,280.595
5.2,0,280.87
5.4,0,281.155
5.6,0,281.448
5.8,0,281.75
6,0,282.059
6.2,0,282.373
6.4,0,282.691
6.6,0,283.01
6.8,0,283.328
7,0,283.642
7.2,0,283.948
7.4,0,284.243
7.6,0,284.521
7.8,0,284.78
8,0,285.014
8.2,0,285.22
8.4,0,285.396
8.6,0,285.54
8.8,0,285.652
9,0,285.733
9.2,0,285.784
9.4,0,285.808
9.6,0,285.805
9.8,0,285.778
10,0,285.778

0,0.2,277.161
0.2,0.2,277.178
0.4,0.2,277.205
0.6,0.2,277.242
0.8,0.2,277.289
1,0.2,277.345
1.2,0.2,277.411
1.4,0.2,277.487
1.6,0.2,277.572
1.8,0.2,277.667
2,0.2,277.773
2.2,0.2,277.888
2.4,0.2,278.014
2.6,0.2,278.15
2.8,0.2,278.297
3,0.2,278.454
3.2,0.2,278.622
3.4,0.2,278.801
3.6,0.2,278.99
3.8,0.2,279.191
4,0.2,279.403
4.2,0.2,279.625
4.4,0.2,279.859
4.6,0.2,280.104
4.8,0.2,280.359
5,0.2,280.625
5.2,0.2,280.902
5.4,0.2,281.187
5.6,0.2,281.482
5.8,0.2,281.785
6,0.2,282.095
6.2,0.2,282.41
6.4,0.2,282.73
6.6,0.2,283.05
6.8,0.2,283.37
7,0.2,283.685
7.2,0.2,283.992
7.4,0.2,284.288
7.6,0.2,284.567
7.8,0.2,284.827
8,0.2,285.062
8.2,0.2,285.269
8.4,0.2,285.445
8.6,0.2,285.59
8.8,0.2,285.703
9,0.2,285.784
9.2,0.2,285.835
9.4,0.2,285.859
9.6,0.2,285.856
9.8,0.2,285.829
10,0.2,285.778

0,0.4,277.176
0.2,0.4,277.193
0.4,0.4,277.22
0.6,0.4,277.258
0.8,0.4,277.304
1,0.4,277.361
1.2,0.4,277.427
1.4,0.4,277.503
1.6,0.4,277.588
1.8,0.4,277.684
2,0.4,277.79
2.2,0.4,277.906
2.4,0.4,278.032
2.6,0.4,278.168
2.8,0.4,278.315
3,0.4,278.473
3.2,0.4,278.642
3.4,0.4,278.821
3.6,0.4,279.011
3.8,0.4,279.213
4,0.4,279.425
4.2,0.4,279.649
4.4,0.4,279.884
4.6,0.4,280.13
4.8,0.4,280.386
5,0.4,280.654
5.2,0.4,280.932
5.4,0.4,281.219
5.6,0.4,281.516
5.8,0.4,281.822
6,0.4,282.134
6.2,0.4,282.453
6.4,0.4,282.775
6.6,0.4,283.1
6.8,0.4,283.424
7,0.4,283.744
7.2,0.4,284.056
7.4,0.4,284.357
7.6,0.4,284.642
7.8,0.4,284.907
8,0.4,285.146
8.2,0.4,285.357
8.4,0.4,285.536
8.6,0.4,285.681
8.8,0.4,285.793
9,0.4,285.873
9.2,0.4,285.923
9.4,0.4,285.945
9.6,0.4,285.94
9.8,0.4,285.912
10,0.4,285.861

0,0.6,277.188
0.2,0.6,277.205
0.4,0.6,277.233
0.6,0.6,277.27
0.8,0.6,277.317
1,0.6,277.373
1.2,0.6,277.439
1.4,0.6,277.515
1.6,0.6,277.601
1.8,0.6,277.697
2,0.6,277.803
2.2,0.6,277.919
2.4,0.6,278.046
2.6,0.6,278.183
2.8,0.6,278.33
3,0.6,278.489
3.2,0.6,278.658
3.4,0.6,278.838
3.6,0.6,279.029
3.8,0.6,279.231
4,0.6,279.444
4.2,0.6,279.669
4.4,0.6,279.905
4.6,0.6,280.152
4.8,0.6,280.41
5,0.6,280.679
5.2,0.6,280.959
5.4,0.6,281.25
5.6,0.6,281.55
5.8,0.6,281.858
6,0.6,282.175
6.2,0.6,282.498
6.4,0.6,282.827
6.6,0.6,283.158
6.8,0.6,283.489
7,0.6,283.818
