x,y,T
0,0,273.168
0.2,0,273.168
0.4,0,273.175
0.6,0,273.186
0.8,0,273.203
1,0,273.224
1.2,0,273.252
1.4,0,273.285
1.6,0,273.325
1.8,0,273.372
2,0,273.427
2.2,0,273.49
2.4,0,273.562
2.6,0,273.644
2.8,0,273.736
3,0,273.84
3.2,0,273.957
3.4,0,274.087
3.6,0,274.231
3.8,0,274.391
4,0,274.568
4.2,0,274.762
4.4,0,274.974
4.6,0,275.206
4.8,0,275.457
5,0,275.73
5.2,0,276.023
5.4,0,276.338
5.6,0,276.673
5.8,0,277.03
6,0,277.405
6.2,0,277.799
6.4,0,278.207
6.6,0,278.628
6.8,0,279.056
7,0,279.488
7.2,0,279.915
7.4,0,280.333
7.6,0,280.733
7.8,0,281.107
8,0,281.449
8.2,0,281.752
8.4,0,282.012
8.6,0,282.226
8.8,0,282.395
9,0,282.521
9.2,0,282.607
9.4,0,282.657
9.6,0,282.675
9.8,0,282.664
10,0,282.664

0,0.2,273.168
0.2,0.2,273.169
0.4,0.2,273.176
0.6,0.2,273.187
0.8,0.2,273.203
1,0.2,273.225
1.2,0.2,273.253
1.4,0.2,273.287
1.6,0.2,273.327
1.8,0.2,273.374
2,0.2,273.429
2.2,0.2,273.492
2.4,0.2,273.564
2.6,0.2,273.646
2.8,0.2,273.739
3,0.2,273.843
3.2,0.2,273.96
3.4,0.2,274.091
3.6,0.2,274.236
3.8,0.2,274.397
4,0.2,274.574
4.2,0.2,274.769
4.4,0.2,274.982
4.6,0.2,275.215
4.8,0.2,275.467
5,0.2,275.741
5.2,0.2,276.035
5.4,0.2,276.351
5.6,0.2,276.688
5.8,0.2,277.046
6,0.2,277.423
6.2,0.2,277.818
6.4,0.2,278.228
6.6,0.2,278.65
6.8,0.2,279.081
7,0.2,279.514
7.2,0.2,279.943
7.4,0.2,280.362
7.6,0.2,280.764
7.8,0.2,281.139
8,0.2,281.483
8.2,0.2,281.787
8.4,0.2,282.048
8.6,0.2,282.263
8.8,0.2,282.433
9,0.2,282.559
9.2,0.2,282.646
9.4,0.2,282.696
9.6,0.2,282.714
