x,y,T
0,0,273.168
0.2,0,273.168
0.4,0,273.175
0.6,0,273.186
0.8,0,273.203
1,0,273.224
1.2,0,273.252
1.4,0,273.285
1.6,0,273.325
1.8,0,273.372
2,0,273.427
2.2,0,273.49
2.4,0,273.562
2.6,0,273.644
2.8,0,273.736
3,0,273.84
3.2,0,273.957
3.4,0,274.087
3.6,0,274.231
3.8,0,274.391
4,0,274.568
4.2,0,274.762
4.4,0,274.974
4.6,0,275.206
4.8,0,275.457
5,0,275.729
5.2,0,276.023
5.4,0,276.337
5.6,0,276.673
5.8,0,277.029
6,0,277.405
6.2,0,277.798
6.4,0,278.207
6.6,0,278.627
6.8,0,279.056
7,0,279.487
7.2,0,279.915
7.4,0,280.332
7.6,0,280.732
7.8,0,281.106
8,0,281.448
8.2,0,281.751
8.4,0,282.01
8.6,0,282.225
8.8,0,282.394
9,0,282.52
9.2,0,282.606
9.4,0,282.656
9.6,0,282.673
9.8,0,282.662
10,0,282.662

0,0.2,273.168
0.2,0.2,273.169
0.4,0.2,273.176
0.6,0.2,273.187
0.8,0.2,273.203
1,0.2,273.225
1.2,0.2,273.253
1.4,0.2,273.287
1.6,0.2,273.327
1.8,0.2,273.374
2,0.2,273.429
2.2,0.2,273.492
2.4,0.2,273.564
2.6,0.2,273.646
2.8,0.2,273.739
3,0.2,273.843
3.2,0.2,273.96
3.4,0.2,274.091
3.6,0.2,274.236
3.8,0.2,274.397
4,0.2,274.574
4.2,0.2,274.769
4.4,0.2,274.982
4.6,0.2,275.214
4.8,0.2,275.467
5,0.2,275.74
5.2,0.2,276.035
5.4,0.2,276.351
5.6,0.2,276.688
5.8,0.2,277.045
6,0.2,277.422
6.2,0.2,277.817
6.4,0.2,278.228
6.6,0.2,278.65
6.8,0.2,279.08
7,0.2,279.513
7.2,0.2,279.942
7.4,0.2,280.361
7.6,0.2,280.763
7.8,0.2,281.138
8,0.2,281.481
8.2,0.2,281.786
8.4,0.2,282.047
8.6,0.2,282.262
8.8,0.2,282.432
9,0.2,282.558
9.2,0.2,282.644
9.4,0.2,282.694
9.6,0.2,282.712
