x,y,T
0,0,322.67
0.2,0,322.67
0.4,0,322.88
0.6,0,323.104
0.8,0,323.341
1,0,323.59
1.2,0,323.853
1.4,0,324.13
1.6,0,324.419
1.8,0,324.723
2,0,325.04
2.2,0,325.372
2.4,0,325.717
2.6,0,326.077
2.8,0,326.451
3,0,326.841
3.2,0,327.245
3.4,0,327.664
3.6,0,328.099
3.8,0,328.549
4,0,329.014
4.2,0,329.495
4.4,0,329.991
4.6,0,330.503
4.8,0,331.029
5,0,331.569
5.2,0,332.123
5.4,0,332.689
5.6,0,333.267
5.8,0,333.853
6,0,334.447
6.2,0,335.044
6.4,0,335.642
6.6,0,336.236
6.8,0,336.821
7,0,337.39
7.2,0,337.936
7.4,0,338.452
7.6,0,338.929
7.8,0,339.358
8,0,339.732
8.2,0,340.043
8.4,0,340.286
8.6,0,340.459
8.8,0,340.56
9,0,340.591
9.2,0,340.557
9.4,0,340.459
9.6,0,340.302
9.8,0,340.089
10,0,340.089

0,0.2,322.67
0.2,0.2,322.868
0.4,0.2,323.08
0.6,0.2,323.304
0.8,0.2,323.542
1,0.2,323.793
1.2,0.2,324.057
1.4,0.2,324.334
1.6,0.2,324.625
1.8,0.2,324.93
2,0.2,325.248
2.2,0.2,325.581
2.4,0.2,325.928
2.6,0.2,326.289
2.8,0.2,326.665
3,0.2,327.056
3.2,0.2,327.462
3.4,0.2,327.883
3.6,0.2,328.319
3.8,0.2,328.771
4,0.2,329.238
4.2,0.2,329.721
4.4,0.2,330.219
4.6,0.2,330.733
4.8,0.2,331.261
5,0.2,331.804
5.2,0.2,332.36
5.4,0.2,332.928
5.6,0.2,333.508
5.8,0.2,334.097
6,0.2,334.693
6.2,0.2,335.293
6.4,0.2,335.893
6.6,0.2,336.489
6.8,0.2,337.076
7,0.2,337.647
7.2,0.2,338.196
7.4,0.2,338.714
7.6,0.2,339.193
7.8,0.2,339.624
8,0.2,339.999
8.2,0.2,340.311
8.4,0.2,340.555
8.6,0.2,340.728
8.8,0.2,340.83
9,0.2,340.862
9.2,0.2,340.827
9.4,0.2,340.729
9.6,0.2,340.571
9.8,0.2,340.358
10,0.2,340.089

0,0.4,322.855
0.2,0.4,323.054
0.4,0.4,323.267
0.6,0.4,323.492
0.8,0.4,323.73
1,0.4,323.982
1.2,0.4,324.247
1.4,0.4,324.525
1.6,0.4,324.817
1.8,0.4,325.123
2,0.4,325.443
2.2,0.4,325.776
2.4,0.4,326.124
2.6,0.4,326.487
2.8,0.4,326.864
3,0.4,327.256
3.2,0.4,327.664
3.4,0.4,328.086
3.6,0.4,328.524
3.8,0.4,328.978
4,0.4,329.447
4.2,0.4,329.932
4.4,0.4,330.432
4.6,0.4,330.948
4.8,0.4,331.479
5,0.4,332.024
5.2,0.4,332.584
5.4,0.4,333.156
5.6,0.4,333.74
5.8,0.4,334.333
6,0.4,334.935
6.2,0.4,335.54
6.4,0.4,336.148
6.6,0.4,336.751
6.8,0.4,337.347
7,0.4,337.928
7.2,0.4,338.486
7.4,0.4,339.015
7.6,0.4,339.504
7.8,0.4,339.945
8,0.4,340.329
8.2,0.4,340.647
8.4,0.4,340.895
8.6,0.4,341.07
8.8,0.4,341.17
9,0.4,341.199
9.2,0.4,341.16
9.4,0.4,341.058
9.6,0.4,340.897
9.8,0.4,340.681
10,0.4,340.411

0,0.6,323.027
0.2,0.6,323.227
0.4,0.6,323.44
0.6,0.6,323.666
