x,y,T
0,0,295.394
0.2,0,295.394
0.4,0,295.408
0.6,0,295.434
0.8,0,295.473
1,0,295.524
1.2,0,295.587
1.4,0,295.663
1.6,0,295.751
1.8,0,295.851
2,0,295.964
2.2,0,296.09
2.4,0,296.227
2.6,0,296.378
2.8,0,296.541
3,0,296.718
3.2,0,296.907
3.4,0,297.109
3.6,0,297.323
3.8,0,297.551
4,0,297.792
4.2,0,298.046
4.4,0,298.313
4.6,0,298.592
4.8,0,298.884
5,0,299.188
5.2,0,299.503
5.4,0,299.83
5.6,0,300.167
5.8,0,300.514
6,0,300.869
6.2,0,301.23
6.4,0,301.596
6.6,0,301.965
6.8,0,302.333
7,0,302.698
7.2,0,303.056
7.4,0,303.402
7.6,0,303.733
7.8,0,304.044
8,0,304.331
8.2,0,304.59
8.4,0,304.819
8.6,0,305.016
8.8,0,305.18
9,0,305.313
9.2,0,305.417
9.4,0,305.492
9.6,0,305.541
9.8,0,305.565
10,0,305.565

0,0.2,295.394
0.2,0.2,295.394
0.4,0.2,295.408
0.6,0.2,295.434
0.8,0.2,295.473
1,0.2,295.524
1.2,0.2,295.587
1.4,0.2,295.663
1.6,0.2,295.751
1.8,0.2,295.851
2,0.2,295.964
2.2,0.2,296.09
2.4,0.2,296.227
2.6,0.2,296.378
2.8,0.2,296.541
3,0.2,296.718
3.2,0.2,296.907
3.4,0.2,297.109
3.6,0.2,297.323
3.8,0.2,297.551
4,0.2,297.792
4.2,0.2,298.046
4.4,0.2,298.313
4.6,0.2,298.592
4.8,0.2,298.884
5,0.2,299.188
5.2,0.2,299.503
5.4,0.2,299.83
5.6,0.2,300.167
5.8,0.2,300.514
6,0.2,300.869
6.2,0.2,301.23
6.4,0.2,301.596
6.6,0.2,301.965
6.8,0.2,302.333
7,0.2,302.698
7.2,0.2,303.056
7.4,0.2,303.402
7.6,0.2,303.733
7.8,0.2,304.044
8,0.2,304.331
8.2,0.2,304.59
8.4,0.2,304.819
8.6,0.2,305.016
8.8,0.2,305.18
9,0.2,305.313
9.2,0.2,305.417
9.4,0.2,305.492
9.6,0.2,305.541
9.8,0.2,305.565
10,0.2,305.565

0,0.4,295.392
