x,y,T
0,0,291.269
0.2,0,291.269
0.4,0,291.35
0.6,0,291.438
0.8,0,291.534
1,0,291.637
1.2,0,291.748
1.4,0,291.867
1.6,0,291.993
1.8,0,292.128
2,0,292.27
2.2,0,292.421
2.4,0,292.579
2.6,0,292.746
2.8,0,292.921
3,0,293.105
3.2,0,293.297
3.4,0,293.498
3.6,0,293.707
3.8,0,293.926
4,0,294.153
4.2,0,294.389
4.4,0,294.633
4.6,0,294.887
4.8,0,295.148
5,0,295.418
5.2,0,295.696
5.4,0,295.981
5.6,0,296.273
5.8,0,296.57
6,0,296.872
6.2,0,297.177
6.4,0,297.483
6.6,0,297.788
6.8,0,298.09
7,0,298.385
7.2,0,298.67
7.4,0,298.94
7.6,0,299.192
7.8,0,299.422
8,0,299.624
8.2,0,299.796
8.4,0,299.936
8.6,0,300.041
8.8,0,300.111
9,0,300.148
9.2,0,300.153
9.4,0,300.127
9.6,0,300.073
9.8,0,299.991
10,0,299.991

0,0.2,291.269
0.2,0.2,291.342
0.4,0.2,291.423
0.6,0.2,291.512
0.8,0.2,291.608
1,0.2,291.712
1.2,0.2,291.823
1.4,0.2,291.942
1.6,0.2,292.069
1.8,0.2,292.204
2,0.2,292.347
2.2,0.2,292.498
2.4,0.2,292.657
2.6,0.2,292.825
2.8,0.2,293.001
3,0.2,293.185
3.2,0.2,293.378
3.4,0.2,293.58
3.6,0.2,293.79
3.8,0.2,294.01
4,0.2,294.238
4.2,0.2,294.474
4.4,0.2,294.72
4.6,0.2,294.974
4.8,0.2,295.237
5,0.2,295.508
5.2,0.2,295.787
5.4,0.2,296.073
5.6,0.2,296.366
5.8,0.2,296.664
6,0.2,296.967
6.2,0.2,297.274
6.4,0.2,297.581
6.6,0.2,297.887
6.8,0.2,298.19
7,0.2,298.486
7.2,0.2,298.772
7.4,0.2,299.044
7.6,0.2,299.297
7.8,0.2,299.527
8,0.2,299.731
8.2,0.2,299.904
8.4,0.2,300.044
8.6,0.2,300.149
8.8,0.2,300.22
9,0.2,300.257
9.2,0.2,300.261
9.4,0.2,300.235
9.6,0.2,300.181
9.8,0.2,300.099
10,0.2,299.991

0,0.4,291.337
0.2,0.4,291.41
0.4,0.4,291.492
0.6,0.4,291.58
0.8,0.4,291.677
1,0.4,291.781
1.2,0.4,291.893
1.4,0.4,292.012
1.6,0.4,292.14
1.8,0.4,292.275
2,0.4,292.419
2.2,0.4,292.57
2.4,0.4,292.73
2.6,0.4,292.898
2.8,0.4,293.075
3,0.4,293.26
3.2,0.4,293.453
3.4,0.4,293.656
3.6,0.4,293.867
3.8,0.4,294.087
4,0.4,294.316
4.2,0.4,294.554
4.4,0.4,294.8
4.6,0.4,295.056
4.8,0.4,295.32
5,0.4,295.593
5.2,0.4,295.873
5.4,0.4,296.161
5.6,0.4,296.456
5.8,0.4,296.757
6,0.4,297.063
6.2,0.4,297.372
6.4,0.4,297.683
6.6,0.4,297.993
6.8,0.4,298.3
7,0.4,298.601
7.2,0.4,298.892
7.4,0.4,299.169
7.6,0.4,299.427
7.8,0.4,299.662
8,0.4,299.87
8.2,0.4,300.046
8.4,0.4,300.188
