x,y,T
0,0,273.179
0.2,0,273.179
0.4,0,273.185
0.6,0,273.197
0.8,0,273.214
1,0,273.236
1.2,0,273.265
1.4,0,273.299
1.6,0,273.341
1.8,0,273.39
2,0,273.447
2.2,0,273.513
2.4,0,273.588
2.6,0,273.674
2.8,0,273.771
3,0,273.88
3.2,0,274.002
3.4,0,274.138
3.6,0,274.289
3.8,0,274.457
4,0,274.642
4.2,0,274.845
4.4,0,275.067
4.6,0,275.31
4.8,0,275.574
5,0,275.859
5.2,0,276.167
5.4,0,276.497
5.6,0,276.849
5.8,0,277.223
6,0,277.618
6.2,0,278.031
6.4,0,278.461
6.6,0,278.904
6.8,0,279.356
7,0,279.812
7.2,0,280.265
7.4,0,280.709
7.6,0,281.136
7.8,0,281.539
8,0,281.91
8.2,0,282.243
8.4,0,282.533
8.6,0,282.779
8.8,0,282.981
9,0,283.14
9.2,0,283.26
9.4,0,283.345
9.6,0,283.399
9.8,0,283.425
10,0,283.425

0,0.2,273.179
0.2,0.2,273.179
0.4,0.2,273.185
0.6,0.2,273.197
0.8,0.2,273.214
1,0.2,273.236
1.2,0.2,273.265
1.4,0.2,273.299
1.6,0.2,273.341
1.8,0.2,273.39
2,0.2,273.447
2.2,0.2,273.513
2.4,0.2,273.588
2.6,0.2,273.674
2.8,0.2,273.771
3,0.2,273.88
3.2,0.2,274.002
3.4,0.2,274.138
3.6,0.2,274.289
3.8,0.2,274.457
4,0.2,274.642
4.2,0.2,274.845
4.4,0.2,275.067
4.6,0.2,275.31
4.8,0.2,275.574
5,0.2,275.859
5.2,0.2,276.167
5.4,0.2,276.497
5.6,0.2,276.849
5.8,0.2,277.223
6,0.2,277.618
6.2,0.2,278.031
6.4,0.2,278.461
6.6,0.2,278.904
6.8,0.2,279.356
7,0.2,279.812
7.2,0.2,280.265
7.4,0.2,280.709
7.6,0.2,281.136
7.8,0.2,281.539
8,0.2,281.91
8.2,0.2,282.243
8.4,0.2,282.533
8.6,0.2,282.779
8.8,0.2,282.981
9,0.2,283.14
9.2,0.2,283.26
9.4,0.2,283.345
9.6,0.2,283.399
9.8,0.2,283.425
10,0.2,283.425

0,0.4,273.18
0.2,0.4,273.18
0.4,0.4,273.186
0.6,0.4,273.198
0.8,0.4,273.215
1,0.4,273.237
1.2,0.4,273.266
1.4,0.4,273.301
1.6,0.4,273.342
1.8,0.4,273.392
2,0.4,273.449
2.2,0.4,273.515
2.4,0.4,273.59
2.6,0.4,273.676
2.8,0.4,273.773
3,0.4,273.882
3.2,0.4,274.004
3.4,0.4,274.141
3.6,0.4,274.293
3.8,0.4,274.461
4,0.4,274.647
4.2,0.4,274.85
4.4,0.4,275.074
4.6,0.4,275.318
4.8,0.4,275.583
5,0.4,275.869
5.2,0.4,276.179
5.4,0.4,276.511
5.6,0.4,276.866
5.8,0.4,277.242
6,0.4,277.641
6.2,0.4,278.058
6.4,0.4,278.493
6.6,0.4,278.943
6.8,0.4,279.402
7,0.4,279.865
7.2,0.4,280.327
7.4,0.4,280.78
7.6,0.4,281.217
7.8,0.4,281.628
8,0.4,282.006
