x,y,T
0,0,311.073
0.2,0,311.073
0.4,0,311.087
0.6,0,311.114
0.8,0,311.153
1,0,311.204
1.2,0,311.267
1.4,0,311.343
1.6,0,311.431
1.8,0,311.531
2,0,311.644
2.2,0,311.769
2.4,0,311.907
2.6,0,312.058
2.8,0,312.221
3,0,312.397
3.2,0,312.586
3.4,0,312.788
3.6,0,313.003
3.8,0,313.231
4,0,313.472
4.2,0,313.726
4.4,0,313.992
4.6,0,314.272
4.8,0,314.563
5,0,314.867
5.2,0,315.183
5.4,0,315.51
5.6,0,315.847
5.8,0,316.194
6,0,316.548
6.2,0,316.91
6.4,0,317.276
6.6,0,317.645
6.8,0,318.013
7,0,318.378
7.2,0,318.736
7.4,0,319.082
7.6,0,319.413
7.8,0,319.724
8,0,320.011
8.2,0,320.27
8.4,0,320.498
8.6,0,320.695
8.8,0,320.86
9,0,320.993
9.2,0,321.096
9.4,0,321.172
9.6,0,321.22
9.8,0,321.245
10,0,321.245

0,0.2,311.073
0.2,0.2,311.073
0.4,0.2,311.087
0.6,0.2,311.114
0.8,0.2,311.153
1,0.2,311.204
1.2,0.2,311.267
1.4,0.2,311.343
1.6,0.2,311.431
1.8,0.2,311.531
2,0.2,311.644
2.2,0.2,311.769
2.4,0.2,311.907
2.6,0.2,312.058
2.8,0.2,312.221
3,0.2,312.397
3.2,0.2,312.586
3.4,0.2,312.788
3.6,0.2,313.003
3.8,0.2,313.231
4,0.2,313.472
4.2,0.2,313.726
4.4,0.2,313.992
4.6,0.2,314.272
4.8,0.2,314.563
5,0.2,314.867
5.2,0.2,315.183
5.4,0.2,315.51
5.6,0.2,315.847
5.8,0.2,316.194
6,0.2,316.548
6.2,0.2,316.91
6.4,0.2,317.276
6.6,0.2,317.645
6.8,0.2,318.013
7,0.2,318.378
7.2,0.2,318.736
7.4,0.2,319.082
7.6,0.2,319.413
7.8,0.2,319.724
8,0.2,320.011
8.2,0.2,320.27
8.4,0.2,320.498
8.6,0.2,320.695
8.8,0.2,320.86
9,0.2,320.993
9.2,0.2,321.096
9.4,0.2,321.172
9.6,0.2,321.22
9.8,0.2,321.245
10,0.2,321.245

0,0.4,311.072
0.2,0.4,311.072
0.4,0.4,311.086
0.6,0.4,311.113
0.8,0.4,311.151
1,0.4,311.202
1.2,0.4,311.266
1.4,0.4,311.341
1.6,0.4,311.429
1.8,0.4,311.529
2,0.4,311.642
2.2,0.4,311.767
2.4,0.4,311.905
2.6,0.4,312.056
2.8,0.4,312.219
3,0.4,312.395
3.2,0.4,312.584
3.4,0.4,312.786
3.6,0.4,313.001
3.8,0.4,313.229
4,0.4,313.47
4.2,0.4,313.724
4.4,0.4,313.99
4.6,0.4,314.27
4.8,0.4,314.562
5,0.4,314.866
5.2,0.4,315.183
5.4,0.4,315.51
5.6,0.4,315.848
5.8,0.4,316.196
6,0.4,316.553
6.2,0.4,316.916
6.4,0.4,317.285
6.6,0.4,317.656
6.8,0.4,318.027
7,0.4,318.396
7.2,0.4,318.758
7.4,0.4,319.109
7.6,0.4,319.444
7.8,0.4,319.759
8,0.4,320.049
8.2,0.4,320.311
8.4,0.4,320.541
8.6,0.4,320.738
8.8,0.4,320.902
9,0.4,321.034
9.2,0.4,321.135
9.4,0.4,321.209
9.6,0.4,321.256
9.8,0.4,321.28
10,0.4,321.28

0,0.6,311.068
0.2,0.6,311.068
0.4,0.6,311.082
0.6,0.6,311.108
0.8,0.6,311.147
1,0.6,311.198
1.2,0.6,311.261
1.4,0.6,311.337
1.6,0.6,311.424
1.8,0.6,311.525
2,0.6,311.637
2.2,0.6,311.762
2.4,0.6,311.9
2.6,0.6,312.051
2.8,0.6,312.214
3,0.6,312.39
3.2,0.6,312.578
3.4,0.6,312.78
3.6,0.6,312.995
3.8,0.6,313.223
4,0.6,313.464
4.2,0.6,313.718
4.4,0.6,313.985
4.6,0.6,314.265
4.8,0.6,314.558
5,0.6,314.863
5.2,0.6,315.18
5.4,0.6,315.509
5.6,0.6,315.85
5.8,0.6,316.2
6,0.6,316.559
6.2,0.6,316.926
6.4,0.6,317.299
6.6,0.6,317.676
6.8,0.6,318.054
7,0.6,318.43
7.2,0.6,318.8
7.4,0.6,319.16
7.6,0.6,319.504
7.8,0.6,319.828
8,0.6,320.126
8.2,0.6,320.393
8.4,0.6,320.626
8.6,0.6,320.824
8.8,0.6,320.986
9,0.6,321.114
9.2,0.6,321.212
9.4,0.6,321.281
9.6,0.6,321.325
9.8,0.6,321.347
10,0.6,321.347

0,0.8,311.061
