x,y,T
0,0,295.563
0.2,0,295.563
0.4,0,295.66
0.6,0,295.764
0.8,0,295.874
1,0,295.992
1.2,0,296.116
1.4,0,296.248
1.6,0,296.386
1.8,0,296.532
2,0,296.685
2.2,0,296.845
2.4,0,297.013
2.6,0,297.188
2.8,0,297.372
3,0,297.562
3.2,0,297.761
3.4,0,297.968
3.6,0,298.182
3.8,0,298.405
4,0,298.636
4.2,0,298.875
4.4,0,299.122
4.6,0,299.376
4.8,0,299.639
5,0,299.909
5.2,0,300.186
5.4,0,300.47
5.6,0,300.76
5.8,0,301.055
6,0,301.353
6.2,0,301.654
6.4,0,301.955
6.6,0,302.255
6.8,0,302.551
7,0,302.839
7.2,0,303.116
7.4,0,303.378
7.6,0,303.621
7.8,0,303.841
8,0,304.033
8.2,0,304.195
8.4,0,304.322
8.6,0,304.415
8.8,0,304.473
9,0,304.496
9.2,0,304.486
9.4,0,304.445
9.6,0,304.375
9.8,0,304.277
10,0,304.277

0,0.2,295.563
0.2,0.2,295.653
0.4,0.2,295.751
0.6,0.2,295.855
0.8,0.2,295.966
1,0.2,296.084
1.2,0.2,296.209
1.4,0.2,296.34
1.6,0.2,296.48
1.8,0.2,296.626
2,0.2,296.78
2.2,0.2,296.941
2.4,0.2,297.109
2.6,0.2,297.285
2.8,0.2,297.469
3,0.2,297.661
3.2,0.2,297.86
3.4,0.2,298.068
3.6,0.2,298.283
3.8,0.2,298.507
4,0.2,298.738
4.2,0.2,298.978
4.4,0.2,299.226
4.6,0.2,299.482
4.8,0.2,299.746
5,0.2,300.017
5.2,0.2,300.295
5.4,0.2,300.58
5.6,0.2,300.871
5.8,0.2,301.167
6,0.2,301.466
6.2,0.2,301.769
6.4,0.2,302.071
6.6,0.2,302.372
6.8,0.2,302.669
7,0.2,302.958
7.2,0.2,303.236
7.4,0.2,303.5
7.6,0.2,303.744
7.8,0.2,303.965
8,0.2,304.158
8.2,0.2,304.319
8.4,0.2,304.448
8.6,0.2,304.541
8.8,0.2,304.599
9,0.2,304.622
9.2,0.2,304.612
9.4,0.2,304.571
9.6,0.2,304.501
9.8,0.2,304.402
10,0.2,304.277

0,0.4,295.647
0.2,0.4,295.738
0.4,0.4,295.835
0.6,0.4,295.94
0.8,0.4,296.051
1,0.4,296.17
1.2,0.4,296.295
1.4,0.4,296.427
1.6,0.4,296.567
1.8,0.4,296.714
2,0.4,296.868
2.2,0.4,297.029
2.4,0.4,297.198
2.6,0.4,297.375
2.8,0.4,297.56
3,0.4,297.752
3.2,0.4,297.952
3.4,0.4,298.16
3.6,0.4,298.377
3.8,0.4,298.601
4,0.4,298.834
4.2,0.4,299.075
4.4,0.4,299.324
4.6,0.4,299.581
4.8,0.4,299.846
5,0.4,300.118
